id,english,code,hypers,hypons
1931,Commerce,380.1,1930,
1932,Commercial Policy,381.3,1931,
1933,International Commerce,382,1930,
1934,Postal Communication,383,1930,
1935,Communications; Telecommunication,384,1930,"1939,1938,1937,1936"
1936,Telegraph,384.1,1935,
1937,Computer Communication,384.3,1935,
1938,Wireless Communication,384.5,1935,
1939,Telephone,384.6,1935,
1940,Railroad Transportation,385,1930,
1941,Inland Waterway & Ferry Transportation,386,1930,
1942,"Water, Air & Space Transportation",387,1930,"1943,1945,1944"
1943,Ports,387.1,1942,
1944,Ships,387.2,1942,
1945,Ocean (Marine) Transportation,387.5,1942,
1946,Transportation; Ground Transportation,388,1930,"1950,1949,1948,1947"
1947,Roads And Highways,388.1,1946,
1948,Vehicular Transportation,388.3,1946,
1949,Local Transportation,388.4,1946,
1950,Pipeline Transportation,388.5,1946,
1951,Metrology & Standardization,389,1930,
1952,"Customs, Etiquette & Folklore",390,1673,"1965,2956,1960,1959,1956,1955,1954,1953"
1953,Costume & Personal Appearance,391,1952,
1954,Customs Of Life Cycle & Domestic Life,392,1952,
1955,Death Customs,393,1952,
1956,General Customs,394,1952,"1958,1957"
1957,"Eating, Drinking; Using Drugs",394.1,1956,
1958,Special Occasions,394.2,1956,
1959,Etiquette (Manners),395,1952,
1960,Folklore,398,1952,"1964,1963,1962,1961"
1961,Folk Literature,398.2,1960,
1962,Riddles,398.6,1960,
1963,Rhymes And Rhyming Games,398.8,1960,
1964,Proverbs,398.9,1960,
1965,Customs Of War & Diplomacy,399,1952,
1966,Language,400,,"1969,1978,1987,1996,2005,2013,2021,2030,2039,2929"
1967,Philosophy & Theory,401,1966,
1968,Special Topics,404,1966,
1969,Linguistics,410,1966,"1970,1971,1972,1973,1974,1975,1976,1977,2957"
1970,Writing Systems,411,1969,
1971,Etymology,412,1969,
1972,Dictionaries,413,1969,
1973,Phonology & Phonetics,414,1969,
1974,Grammar,415,1969,
1975,Dialectology & Historical Linguistics,417,1969,
1976,Standard Usage & Applied Linguistics,418,1969,
1977,Sign Languages,419,1969,
1978,English & Old English Languages,420,1966,"1983,1982,1981,1980,1979,1986,1985,1984"
1979,English & Old English (Anglo-Saxon),420,1978,
1980,English Writing System & Phonology,421,1978,
1981,English Etymology,422,1978,
1982,English Dictionaries,423,1978,
1983,English Grammar,425,1978,
1984,English Language Variations,427,1978,
1985,Standard English Usage,428,1978,
1986,Old English (Anglo-Saxon),429,1978,
1987,German & Related Languages,430,1966,"1995,1994,1993,1992,1991,1990,1989,1988"
1988,Germanic Languages; German,430,1987,
1989,German Writing Systems & Phonology,431,1987,
1990,German Etymology,432,1987,
1991,German Dictionaries,433,1987,
1992,German Grammar,435,1987,
1993,German Language Variations,437,1987,
1994,Standard German Usage,438,1987,
1995,Other Germanic Languages,439,1987,
1996,French & Related Languages,440,1966,"2004,2003,2002,2001,2000,1999,1998,1997"
1997,Romance Languages; French,440,1996,
1998,French Writing Systems & Phonology,441,1996,
1999,French Etymology,442,1996,
2000,French Dictionaries,443,1996,
2001,French Grammar,445,1996,
2002,French Language Variations,447,1996,
2003,Standard French Usage,448,1996,
2004,Occitan & Catalan,449,1996,
2005,"Italian, Romanian & Related Languages",450,1966,"2012,2011,2010,2009,2008,2007,2006,2958"
2006,Italian Writing Systems & Phonology,451,2005,
2007,Italian Etymology,452,2005,
2008,Italian Dictionaries,453,2005,
2009,Italian Grammar,455,2005,
2010,Italian Language Variations,457,2005,
2011,Standard Italian Usage,458,2005,
2012,Romanian & Related Languages,459,2005,
2013,Spanish & Portuguese Languages,460,1966,"2015,2014,2959,2020,2019,2018,2017,2016"
2014,Spanish Writing Systems & Phonology,461,2013,
2015,Spanish Etymology,462,2013,
2016,Spanish Dictionaries,463,2013,
2017,Spanish Grammar,465,2013,
2018,Spanish Language Variations,467,2013,
2019,Standard Spanish Usage,468,2013,
2020,Portuguese,469,2013,
2021,Latin & Italic Languages,470,1966,"2029,2028,2027,2026,2025,2024,2023,2022"
2022,Italic Languages; Latin,470,2021,
2023,Classical Latin Writing & Phonology,471,2021,
2024,Classical Latin Etymology,472,2021,
2025,Classical Latin Dictionaries,473,2021,
2026,Classical Latin Grammar,475,2021,
2027,"Old, Postclassical & Vulgar Latin",477,2021,
2028,Classical Latin Usage,478,2021,
2029,Other Italic Languages,479,2021,
2030,Classical & Modern Greek Languages,480,1966,"2038,2037,2036,2035,2034,2033,2032,2031"
2031,Hellenic Languages; Classical Greek,480,2030,
2032,Classical Greek Writing & Phonology,481,2030,
2033,Classical Greek Etymology,482,2030,
2034,Classical Greek Dictionaries,483,2030,
2035,Classical Greek Grammar,485,2030,
2036,Preclassical & Postclassical Greek,487,2030,
2037,Classical Greek Usage,488,2030,
2038,Other Hellenic Languages,489,2030,
2039,Other Languages,490,1966,"2040,2044,2046,2047,2048,2049,2050,2051,2052,2960"
2040,East Indo-European & Celtic Languages,491,2039,"2043,2042,2041"
2041,Celtic Languages,491.6,2040,
2042,East Slavic Languages; Russian,491.7,2040,
2043,Slavic Languages,491.8,2040,
2044,Afro-Asiatic Languages; Semitic Languages,492,2039,2045
2045,Hebrew,492.4,2044,
2046,Non-Semitic Afro-Asiatic Languages,493,2039,
2047,"Altaic, Uralic, Hyperborean & Dravidian",494,2039,
2048,Languages Of East & Southeast Asia,495,2039,
2049,African Languages,496,2039,
2050,North American Native Languages,497,2039,
2051,South American Native Languages,498,2039,
2052,Austronesian & Other Languages,499,2039,
2053,Science,500,,"2076,2097,2111,2119,2146,2158,2172,2188,2873,2931"
2054,Natural Sciences And Mathemetics,500,2053,
2055,Physical Sciences,500.2,2053,
2056,Natural History,508,2053,
2057,General Principles Of Mathematics,511,2961,2058
2058,Mathematical (Symbolic) Logic,511.3,2057,
2059,Algebra,512,1918,2060
2060,Foundations Of Algebra,512.9,2059,
2061,Arithmetic,513,1918,"2063,2062"
2062,Specific Arithmetic Operations,513.2,2061,
2063,Numeration Systems,513.5,2061,
2064,Topology,514,1918,
2065,Analysis,515,1918,
2066,Geometry,516,1918,"2069,2068,2067"
2067,Euclidean Geometry,516.2,2066,
2068,Analytic Geometries,516.3,2066,
2069,Non-Euclidean Geometries,516.9,2066,
2070,Numerical Analysis,518,1918,
2071,Probabilities & Applied Mathematics,519,2873,"2075,2074,2073,2072"
2072,Probabilities,519.2,2071,
2073,Game Theory,519.3,2071,
2074,Applied Numerical Analysis,519.4,2071,
2075,Statistical Mathematics,519.5,2071,
2076,Astronomy,520,2053,"2077,2078,2079,2080,2090,2091,2094,2095,2096"
2077,Astronomy & Allied Sciences,520,2076,
2078,Celestial Mechanics,521,2076,
2079,"Techniques, Equipment & Materials",522,2076,
2080,Specific Celestial Bodies & Phenomena,523,2076,"2081,2082,2083,2084,2085,2086,2087,2088,2089"
2081,"The Universe; Space, Galaxies, Quasars",523.1,2080,
2082,Solar System,523.2,2080,
2083,Moon,523.3,2080,
2084,Planets,523.4,2080,
2085,"Meteoroids, Solar Wind, Zodiacal Light",523.5,2080,
2086,Comets,523.6,2080,
2087,Sun,523.7,2080,
2088,Stars,523.8,2080,
2089,"Satellites And Rings; Eclipses, Transits, Occultations",523.9,2080,
2090,Earth (Astronomical Geography),525,2076,
2091,Mathematical Geography,526,2076,"2093,2092"
2092,Geodetic Surveying,526.3,2091,
2093,Surveying,526.9,2091,
2094,Celestial Navigation,527,2076,
2095,Ephemerides,528,2076,
2096,Chronology,529,2076,
2097,Physics,530,2053,"2098,2099,2100,2101,2102,2106,2107,2108,2109,2962"
2098,Classical Mechanics; Solid Mechanics,531,2097,
2099,Fluid Mechanics; Liquid Mechanics,532,2097,
2100,Gas Mechanics,533,2097,
2101,Sound & Related Vibrations,534,2097,
2102,Light & Infrared & Ultraviolet Phenomena,535,2097,"2103,2105,2104"
2103,Beams,535.5,2102,
2104,Color,535.6,2102,
2105,Spectroscopy,535.8,2102,
2106,Heat,536,2097,
2107,Electricity & Electronics,537,2097,
2108,Magnetism,538,2097,
2109,Modern Physics,539,2097,2110
2110,Atomic And Nuclear Physics,539.7,2109,
2111,Chemistry,540,2053,"2079,2118,2117,2116,2115,2114,2113,2112"
2112,Chemistry & Allied Sciences,540,2111,
2113,Physical Chemistry,541,2111,
2114,Analytical Chemistry,543,2111,
2115,Inorganic Chemistry,546,2111,
2116,Organic Chemistry,547,2111,
2117,Crystallography,548,2111,
2118,Mineralogy,549,2111,
2119,Earth Sciences & Geology,550,2053,"2120,2121,2131,2132,2140,2141,2142,2143,2144,2145"
2120,Earth Sciences,550,2119,
2121,"Geology, Hydrology & Meteorology",551,2119,"2122,2123,2124,2125,2126,2127,2128,2129,2130"
2122,Gross Structure And Properties Of The Earth,551.1,2121,
2123,"Volcanoes, Earthquakes, Thermal Waters And Gases",551.2,2121,
2124,Surface And Exogenous Processes And Their Agents,551.3,2121,
2125,"Geomorphology And Hydrosphere, Water",551.4,2121,
2126,Meteorology,551.5,2121,
2127,Climatology And Weather,551.6,2121,
2128,Historical Geology,551.7,2121,
2129,Structural Geology,551.8,2121,
2130,Geochemistry,551.9,2121,
2131,Petrology,552,2119,
2132,Economic Geology,553,2119,"2139,2138,2137,2136,2135,2134,2133"
2133,Carbonaceous Materials,553.2,2132,
2134,Iron,553.3,2132,
2135,Metals And Semimetals,553.4,2132,
2136,Structural And Sculptural Stone,553.5,2132,
2137,Other Economic Materials,553.6,2132,
2138,Water,553.7,2132,
2139,Gems,553.8,2132,
2140,Earth Sciences Of Europe,554,2119,
2141,Earth Sciences Of Asia,555,2119,
2142,Earth Sciences Of Africa,556,2119,
2143,Earth Sciences Of North America,557,2119,
2144,Earth Sciences Of South America,558,2119,
2145,Earth Sciences Of Other Areas,559,2119,
2146,Fossils & Prehistoric Life,560,2053,"2147,2148,2149,2150,2151,2152,2153,2154,2156,2157"
2147,Paleontology; Paleozoology,560,2146,
2148,Paleobotany; Fossil Microorganisms,561,2146,
2149,Fossil Invertebrates,562,2146,
2150,Fossil Marine & Seashore Invertebrates,563,2146,
2151,Fossil Mollusks & Molluscoids,564,2146,
2152,Fossil Arthropods,565,2146,
2153,Fossil Chordates,566,2146,
2154,Fossil Cold-Blooded Vertebrates; Fossil Fishes,567,2146,2155
2155,Reptiles,567.9,2154,
2156,Fossil Birds,568,2146,
2157,Fossil Mammals,569,2146,
2158,Life Sciences; Biology,570,2053,"2159,2160,2162,2165,2168,2169,2170,2171,2963"
2159,Physiology & Related Subjects,571,2158,
2160,Biochemistry,572,2158,2161
2161,Geographic Distribution Of Races,572.9,2160,
2162,Specific Physiological Systems In Animals,573,2158,"2164,2163"
2163,Evolution And Genetics Of Humankind,573.2,2162,
2164,Prehistoric Humankind,573.3,2162,
2165,Specific Parts Of & Systems In Plants,575,2158,"2167,2166"
2166,Genetics,575.1,2165,
2167,Variation,575.2,2165,
2168,Genetics & Evolution,576,2158,
2169,Ecology,577,2158,
2170,Natural History Of Organisms,578,2158,
2171,"Microorganisms, Fungi & Algae",579,2158,
2172,Plants (Botany),580,2053,"2173,2181,2182,2183,2184,2185,2186,2187,2964"
2173,Specific Topics In Natural History,581,2172,"2175,2174,2169,2180,2179,2178,2177,2176"
2174,Physiology Of Plants,581.1,2173,
2175,Pathology Of Plants,581.2,2173,
2176,Development And Maturation Of Plants,581.3,2173,
2177,Anatomy And Morphology,581.4,2173,
2178,Economic Botany,581.6,2173,
2179,"Tissue, Cellular, Molecular Botany",581.8,2173,
2180,Geographic Treatment Of Plants,581.9,2173,
2181,Plants Noted For Characteristics & Flowers,582,2172,
2182,Dicotyledons,583,2172,
2183,Monocotyledons,584,2172,
2184,Gymnosperms; Conifers,585,2172,
2185,Seedless Plants,586,2172,
2186,Vascular Seedless Plants,587,2172,
2187,Bryophytes,588,2172,
2188,Animals (Zoology),590,2053,"2194,2195,2196,2197,2203,2204,2208,2217,2965"
2189,Physiology Of Animals,591.1,2173,
2190,Pathology Of Animals,591.2,2173,
2191,Development And Maturation Of Animals,591.3,2173,
2192,Economic Biology,591.6,2173,
2193,"Tissue, Cellular, Molecular Zoology",591.8,2173,
2194,Invertebrates,592,2188,
2195,Marine & Seashore Invertebrates,593,2188,
2196,Mollusks & Molluscoids,594,2188,
2197,Arthropods,595,2188,"2202,2201,2200,2199,2198"
2198,Worms And Related Animals,595.1,2197,
2199,Crustaceans And Chelicerates,595.3,2197,
2200,Arachnids,595.4,2197,
2201,Progoneata,595.6,2197,
2202,Insects,595.7,2197,
2203,Chordates,596,2188,
2204,Cold-Blooded Vertebrates; Fishes,597,2188,"2207,2206,2205,2155"
2205,Amphibians,597.6,2204,
2206,Apoda (Caecilians),597.7,2204,
2207,Anura (Salientia),597.8,2204,
2208,Birds,598,2188,"2216,2215,2214,2213,2212,2211,2210,2209"
2209,Ecology And Geographic Treatment Of Birds,598.2,2208,
2210,"Charadriiformes, Ciconiiformes, Gruiformes",598.3,2208,
2211,Anseriformes And Other Water Birds,598.4,2208,
2212,Palaeognathae,598.5,2208,
2213,Galliformes And Columbiformes,598.6,2208,
2214,"Coliiformes, Cuculiformes, Piciformes, Psittaciformes, Trogoniformes",598.7,2208,
2215,"Perching Birds, Apodiformes, Coraciiformes",598.8,2208,
2216,"Birds Of Prey, Owls, Caprimulgiformes",598.9,2208,
2217,Mammals,599,2188,"2218,2219,2220,2221,2222,2223,2224,2225,2226"
2218,Monotremes,599.1,2217,
2219,Marsupials,599.2,2217,
2220,Unguiculata,599.3,2217,
2221,Bats,599.4,2217,
2222,Cetaceans And Sirenians,599.5,2217,
2223,Paenungulata,599.6,2217,
2224,"Ungulates, Carnivores, Aardvarks",599.7,2217,
2225,Primates,599.8,2217,
2226,Humankind And Forebears,599.9,2217,
2227,Technology,600,,"2232,2279,2353,2376,2384,2394,2404,2415,2932"
2228,Illustrations,602.2,1454,
2229,Technical Drawing,604.2,1968,
2230,Organizations,606,2227,
2231,Inventions & Patents,608,2227,
2232,Medicine & Health,610,2227,"2233,2234,2242,2247,2248,2249,2259,2269,2966"
2233,"Human Anatomy, Cytology & Histology",611,2232,
2234,Human Physiology,612,2232,"2239,2238,2237,2236,2235,2241,2240"
2235,Blood And Circulation,612.1,2234,
2236,Respiration,612.2,2234,
2237,Digestion,612.3,2234,
2238,"Secretion, Excretion, Related Functions",612.4,2234,
2239,"Reproduction, Development, Maturation",612.6,2234,
2240,"Motor Functions And Skin (Integument), Hair, Nails",612.7,2234,
2241,Nervous Functions Sensory Functions,612.8,2234,
2242,Personal Health & Safety,613,2232,"1968,2246,2245,2244,2243"
2243,"Dietetics, Nutrition",613.2,2242,
2244,Physical Fitness,613.7,2242,
2245,"Substance Abuse (Drug Abuse), Smoking",613.8,2242,
2246,Birth Control And Sex Hygiene,613.9,2242,
2247,Incidence & Prevention Of Disease,614,2232,
2248,Pharmacology & Therapeutics,615,2232,
2249,Diseases,616,2232,"2250,2251,2252,2253,2254,2255,2256,2257,2258"
2250,Diseases Of The Cardiovascular System,616.1,2249,
2251,Diseases Of The Respiratory System,616.2,2249,
2252,Diseases Of The Digestive System,616.3,2249,
2253,"Diseases Of The Blood-Forming, Lymphatic, Glandular Systems; Diseases Of The Endocrine System",616.4,2249,
2254,"Diseases Of The Skin (Integument), Hair, Nails",616.5,2249,
2255,"Diseases Of The Urogenital System, Diseases Of The Urinary System",616.6,2249,
2256,Diseases Of The Musculoskeletal System,616.7,2249,
2257,Diseases Of The Nervous System And Mental Disorders,616.8,2249,
2258,Other Diseases,616.9,2249,
2259,Surgery & Related Medical Specialties,617,2232,"2260,2261,2262,2263,2264,2265,2266,2267,2268"
2260,Wounds And Injuries,617.1,2259,
2261,Results Of Injuries,617.2,2259,
2262,Orthopedics,617.3,2259,
2263,Surgery By Systems,617.4,2259,
2264,Regional Medicine Regional Surgery,617.5,2259,
2265,Dentistry,617.6,2259,
2266,Ophthalmology,617.7,2259,
2267,Otology And Audiology,617.8,2259,
2268,"Geriatric, Pediatric, Military, Plastic Surgery, Transplantation Of Tissue And Organs, Anesthesiology",617.9,2259,
2269,"Gynecology, Obstetrics, Pediatrics & Geriatrics",618,2232,"2270,2271,2272,2273,2274,2275,2276,2277,2278"
2270,Gynecology,618.1,2269,
2271,Obstetrics,618.2,2269,
2272,Diseases And Complications Of Pregnancy,618.3,2269,
2273,Childbirth Labor,618.4,2269,
2274,Complicated Labor,618.5,2269,
2275,Normal Perperium,618.6,2269,
2276,Puerperal Diseases,618.7,2269,
2277,Obstetrical Surgery,618.8,2269,
2278,Pediatrics And Geriatrics,618.9,2269,
2279,Engineering,620,2227,"2280,2281,2290,2291,2295,2297,2306,2307,2313"
2280,Engineering & Allied Operations,620,2279,
2281,Applied Physics,621,2279,"2289,2288,2287,2286,2285,2284,2283,2282"
2282,Steam Engineering,621.1,2281,
2283,Hydraulic-Power Technology,621.2,2281,
2284,"Electric, Electronic, Magnetic, Communications, Computer Engineering; Lighting",621.3,2281,
2285,Heat Engineering And Prime Movers,621.4,2281,
2286,"Pneumatic, Vacuum, Low-Temperature Technologies",621.5,2281,
2287,"Fans, Blowers, Pumps",621.6,2281,
2288,Machine Engineering,621.8,2281,
2289,Tools And Fabricating Equipment,621.9,2281,
2290,Mining & Related Operations,622,2279,
2291,Military & Nautical Engineering,623,2279,"2294,2293,2292"
2292,Ordnance,623.4,2291,
2293,Vehicles,623.7,2291,
2294,Nautical Engineering And Seamanship,623.8,2291,
2295,Civil Engineering,624,2279,2296
2296,Structural Engineering And Underground Construction,624.1,2295,
2297,Engineering Of Railroads & Roads,625,2279,"2303,2302,2301,2300,2299,2298,2305,2304"
2298,Railroads,625.1,2297,
2299,Railroad Rolling Stock,625.2,2297,
2300,"Inclined, Mountain, Ship Railroads",625.3,2297,
2301,Rapid Transit Systems,625.4,2297,
2302,Cable And Aerial Railways,625.5,2297,
2303,Surface Rail And Trolley Systems,625.6,2297,
2304,Roads,625.7,2297,
2305,Artificial Road Surfaces,625.8,2297,
2306,Hydraulic Engineering,627,2279,
2307,Sanitary & Municipal Engineering,628,2279,"2312,2311,2310,2309,2308"
2308,Water Supply,628.1,2307,
2309,Sewage Treatment And Disposal,628.3,2307,
2310,"Waste Technology, Public Toilets, Street Cleaning",628.4,2307,
2311,Pollution And Industrial Sanitation Engineering,628.5,2307,
2312,Other Branches Of Sanitary And Municipal Engineering,628.9,2307,
2313,Other Branches Of Engineering,629,2279,
2314,Agriculture & Related Technologies,630,2876,
2315,Philosophy And Theory,630.1,2314,
2316,Miscellany And Scientific Principles,630.2,2314,
2317,Use Of Agricultural Structures,631.2,2079,
2318,"Use Of Tools, Machinery, Apparatus, Equipment",631.3,2079,
2319,Soil Science,631.4,2079,
2320,Cultivation And Harvesting,631.5,2079,
2321,"Clearing, Drainage, Revegetation",631.6,2079,
2322,Water Conservation,631.7,2079,
2323,Fertilizers And Soil Conditioners,631.8,2079,
2324,"Plant Injuries, Diseases & Pests",632,1788,
2325,Field & Plantation Crops,633,1788,"2332,2331,2330,2329,2328,2327,2326"
2326,Cereal Grains (Cereals),633.1,2325,
2327,Forage Crops,633.2,2325,
2328,"Legumes, Other Forage Crops",633.3,2325,
2329,Fiber Crops,633.5,2325,
2330,"Sugar, Syrup, Starch Crops",633.6,2325,
2331,Alkaloidal Crops,633.7,2325,
2332,Other Crops Grown For Industrial Processing,633.8,2325,
2333,"Orchards, Fruits & Forestry",634,1788,"2335,2334"
2334,Grapes,634.8,2333,
2335,Forestry,634.9,2333,
2336,Garden Crops (Horticulture),635,1788,2337
2337,Flowers And Ornamental Plants,635.9,2336,
2338,Animal Husbandry,636,1788,"2346,2345,2344,2343,2342,2341,2340,2339"
2339,Horses And Related Animals,636.1,2338,
2340,Ruminants Bovines Cattle,636.2,2338,
2341,Sheep And Goats,636.3,2338,
2342,Swine,636.4,2338,
2343,Poultry Chickens,636.5,2338,
2344,Birds Other Than Poultry,636.6,2338,
2345,Dogs,636.7,2338,
2346,Cats,636.8,2338,
2347,Processing Dairy & Related Products,637,1788,
2348,Insect Culture,638,1788,
2349,"Hunting, Fishing & Conservation",639,1788,"2351,2350,2352"
2350,"Commercial Fishing, Whaling, Sealing",639.2,2349,
2351,Culture Of Cold-Blooded Vertebrates,639.3,2349,
2352,Conservation Of Biological Resources,639.9,2349,
2353,Home & Family Management,640,2227,"2354,2363,2364,2365,2366,2367,2372,2373,2374,2967"
2354,Food & Drink,641,2353,"2362,2361,2360,2359,2358,2357,2356,2355"
2355,Applied Nutrition,641.1,2354,
2356,Beverages (Drinks),641.2,2354,
2357,Food,641.3,2354,
2358,Food Preservation And Storage,641.4,2354,
2359,"Cooking, Recipes",641.5,2354,
2360,Cooking Specific Materials,641.6,2354,
2361,Specific Cooking Processes And Techniques,641.7,2354,
2362,Cooking Specific Kinds Of Composite Dishes,641.8,2354,
2363,Meals & Table Service,642,2353,
2364,Housing & Household Equipment,643,2353,
2365,Household Utilities,644,2353,
2366,Household Furnishings,645,2353,
2367,"Sewing, Clothing & Personal Living",646,2353,"2371,2370,2369,2368"
2368,Sewing And Related Operations,646.2,2367,
2369,Clothing And Accessories Construction,646.4,2367,
2370,Construction Of Headgear,646.5,2367,
2371,Managemennt Of Personal And Family Living; Grooming,646.7,2367,
2372,Management Of Public Households,647,2353,
2373,Housekeeping,648,2353,
2374,Child Rearing & Home Care Of Persons,649,2353,2375
2375,Home Care Of Sick And Infirm,649.8,2374,
2376,Management & Public Relations,650,2227,"2383,2382,2381,2380,2379,2378,2377"
2377,Management & Auxiliary Services,650,2376,
2378,Office Services,651,2376,
2379,Processes Of Written Communication,652,2376,
2380,Shorthand,653,2376,
2381,Accounting,657,2376,
2382,General Management,658,2376,
2383,Advertising & Public Relations,659,2376,
2384,Chemical Engineering,660,2227,"2385,2386,2387,2388,2389,2390,2391,2392,2393,2968"
2385,Industrial Chemicals,661,2384,
2386,"Explosives, Fuels & Related Products",662,2384,
2387,Beverage Technology,663,2384,
2388,Food Technology,664,2384,
2389,"Industrial Oils, Fats, Waxes & Gases",665,2384,
2390,Ceramic & Allied Technologies,666,2384,
2391,"Cleaning, Color & Coating Technologies",667,2384,
2392,Technology Of Other Organic Products,668,2384,
2393,Metallurgy,669,2384,
2394,Manufacturing,670,2227,"2395,2396,2397,2398,2399,2400,2401,2402,2403,2969"
2395,Metalworking & Primary Metal Products,671,2394,
2396,"Iron, Steel & Other Iron Alloys",672,2394,
2397,Nonferrous Metals,673,2394,
2398,"Lumber Processing, Wood Products & Cork",674,2394,
2399,Leather & Fur Processing,675,2394,
2400,Pulp & Paper Technology,676,2394,
2401,Textiles,677,2394,
2402,Elastomers & Elastomer Products,678,2394,
2403,Other Products Of Specific Materials,679,2394,
2404,Manufacture For Specific Uses,680,2227,"2405,2407,2408,2409,2411,2412,2413,2414,2970"
2405,Precision Instruments & Other Devices,681,2404,2406
2406,Instruments For Measuring Time,681.1,2405,
2407,Small Forge Work (Blacksmithing),682,2404,
2408,Hardware & Household Appliances,683,2404,
2409,Furnishings & Home Workshops,684,2404,2410
2410,Furniture,684.1,2409,
2411,"Leather, Fur Goods & Related Products",685,2404,
2412,Printing & Related Activities,686,2404,
2413,Clothing & Accessories,687,2404,
2414,Other Final Products & Packaging,688,2404,
2415,Building & Construction,690,2227,"2416,2417,2418,2419,2420,2421,2422,2423,2424"
2416,Construction of buildings,690,2415,
2417,Building Materials,691,2415,
2418,Auxiliary Construction Practices,692,2415,
2419,Specific Materials & Purposes,693,2415,
2420,Wood Construction & Carpentry,694,2415,
2421,Roof Covering,695,2415,
2422,Utilities,696,2415,
2423,"Heating, Ventilating & Air-Conditioning",697,2415,
2424,Detail Finishing,698,2415,
2425,Arts & Recreation,700,,"2426,2435,2446,2456,2479,2511,2518,2527,2536,2600"
2426,Arts,700,2425,"2427,2428,2429,2430,2431,2433,2434,2905,2906"
2427,The Arts; Fine & Decorative Arts,700,2426,
2428,Philosophy Of Fine & Decorative Arts,701,2426,
2429,Miscellany Of Fine & Decorative Arts,702,2426,
2430,Dictionaries Of Fine & Decorative Arts,703,2426,
2431,Special Topics In Fine & Decorative Arts,704,2426,2432
2432,Iconography,704.9,2431,
2433,Serial Publications Of Fine & Decorative Arts,705,2426,
2434,"Galleries, Museums & Private Collections",708,2426,
2435,Landscaping & Area Planning,710,2425,"2436,2437,2438,2439,2440,2441,2442,2443,2444,2445"
2436,Civic & Landscape Art,710,2435,
2437,Area Planning,711,2435,
2438,Landscape Architecture,712,2435,
2439,Landscape Architecture Of Trafficways,713,2435,
2440,Water Features,714,2435,
2441,Woody Plants,715,2435,
2442,Herbaceous Plants,716,2435,
2443,Structures In Landscape Architecture,717,2435,
2444,Landscape Design Of Cemeteries,718,2435,
2445,Natural Landscapes,719,2435,
2446,Architecture,720,2425,"2447,2448,2449,2450,2451,2452,2453,2454,2455,2971"
2447,Architectural Structure,721,2446,
2448,Architecture To Ca. 300,722,2446,
2449,Architecture From Ca. 300 To 1399,723,2446,
2450,Architecture From 1400,724,2446,
2451,Public Structures,725,2446,
2452,Buildings For Religious Purposes,726,2446,
2453,Buildings For Education & Research,727,2446,
2454,Residential & Related Buildings,728,2446,
2455,Design & Decoration,729,2446,
2456,"Sculpture, Ceramics & Metalwork",730,2425,"2457,2459,2460,2461,2462,2463,2464,2465,2467,2474"
2457,Plastic Arts; Sculpture,730,2456,
2458,Philosophy And Theory Of Sculpture,730.1,2457,
2459,"Processes, Forms & Subjects Of Sculpture",731,2456,
2460,Sculpture To Ca. 500,732,2456,
2461,"Greek, Etruscan & Roman Sculpture",733,2456,
2462,Sculpture From Ca. 500 To 1399,734,2456,
2463,Sculpture From 1400,735,2456,
2464,Carving & Carvings,736,2456,
2465,Numismatics & Sigillography,737,2456,2466
2466,Coins,737.4,2465,
2467,Ceramic Arts,738,2456,"2473,2472,2471,2470,2469,2468"
2468,"Techniques, Procedures, Apparatus, Equipment, Materials",738.1,2467,
2469,Porcelain,738.2,2467,
2470,Earthenware And Stoneware,738.3,2467,
2471,Enameling And Enamels,738.4,2467,
2472,Mosaics,738.5,2467,
2473,Ornamental Bricks And Tiles,738.6,2467,
2474,Art Metalwork,739,2456,"2478,2477,2476,2475"
2475,Work In Precious Metals,739.2,2474,
2476,Ironwork,739.4,2474,
2477,Work In Other Metals,739.5,2474,
2478,Arms And Armour,739.7,2474,
2479,Drawing & Decorative Arts,740,2425,"2480,2484,2485,2486,2495,2504,2506,2510,2972"
2480,Drawing & Drawings,741,2479,"2468,2483,2482,2481"
2481,"Cartoons, Caricatures, Comics",741.5,2480,
2482,"Graphic Design, Illustration And Commercial Art",741.6,2480,
2483,Silhouettes,741.7,2480,
2484,Perspective,742,2479,
2485,Drawing & Drawings By Subject,743,2479,
2486,Decorative Arts,745,2479,"2494,2493,2492,2491,2490,2489,2488,2487"
2487,Antiques,745.1,2486,
2488,Industrial Art And Design,745.2,2486,
2489,Pure And Applied Design And Decoration,745.4,2486,
2490,Handicrafts,745.5,2486,
2491,"Calligraphy, Illumination, Heraldic Design",745.6,2486,
2492,Decorative Coloring,745.7,2486,
2493,"Panoramas, Cycloramas, Dioramas",745.8,2486,
2494,Other Decorative Arts,745.9,2486,
2495,Textile Arts,746,2479,"2503,2502,2501,2500,2499,2498,2497,2496"
2496,Yarn Preparation And Weaving,746.1,2495,
2497,Laces And Related Fabrics,746.2,2495,
2498,"Pictures, Hangings, Tapestries",746.3,2495,
2499,Needle- And Handwork,746.4,2495,
2500,Bead Embroidery,746.5,2495,
2501,"Printing, Painting, Dyeing",746.6,2495,
2502,Rugs And Carpets,746.7,2495,
2503,Other Textile Products,746.9,2495,
2504,Interior Decoration,747,2479,2505
2505,Decoration Of Specific Rooms Of Residential Buildings,747.7,2504,
2506,Glass,748,2479,"2509,2508,2507"
2507,Glassware,748.2,2506,
2508,"Stained, Painted, Leaded, Mosaic Glass",748.5,2506,
2509,Methods Of Decoration,748.6,2506,
