-D.D.Eisenhower; ""How weary, flat, stale, and unprofitable / Seem to me all the uses of this world""-Shakespeare",
195064,02291238,a,10,"under great stress: ""her voice was strained as she asked the question""",
195069,02292118,a,10,"unhurried and relaxed: ""an easygoing pace""; ""a mellow conversation""",
195076,02293097,a,10,"outside territorial limits or jurisdiction: ""fishing in extraterritorial waters""; ""enjoying exterritorial privileges and rights""",
195090,02295611,a,10,"of relatively small extent from one surface to the opposite or in cross section: ""thin wire""; ""a thin chiffon blouse""; ""a thin book""; ""a thin layer of paint""",2234
195096,02296828,a,10,"so thin as to transmit light: ""a hat with a diaphanous veil""; ""filmy wings of a moth""; ""gauzy clouds of dandelion down""; ""gossamer cobwebs""; ""sheer silk stockings""; ""transparent chiffon""; ""vaporous silks""",2234
195105,02298243,a,10,"relatively dense in consistency: ""thick cream""; ""thick soup""; ""thick smoke""; ""thick fog""",2234
195110,02299172,a,10,"permitting little if any light to pass through because of denseness of matter: ""dense smoke""; ""heavy fog""; ""impenetrable gloom""",2234
195126,02301631,a,10,"deeply absorbed in thought: ""as distant and bemused as a professor listening to the prattling of his freshman class""; ""lost in thought""; ""a preoccupied frown""",1502
195131,02302484,a,10,"involved in or characterized by deliberation and discussion and examination: ""a deliberative body""",1502
195136,02303421,a,10,"avoiding waste: ""an economical meal""; ""an economical shopper""; ""a frugal farmer""; ""a frugal lunch""; ""a sparing father and a spending son""; ""sparing in their use of heat and light""; ""stinting in bestowing gifts""; ""thrifty because they remember the great Depression""; (""scotch"" is used only informally)",
195139,02304052,a,10,"searching for and salvaging anything useful from discarded material: ""scavenging larvae""",
195144,02304688,a,10,"marked by good order and cleanliness in appearance or habits: ""a tidy person""; ""a tidy house""; ""a tidy mind""",
195153,02306135,a,10,"having nothing extraneous: ""an uncluttered room""; ""the unlittered shoulders of the road""",
195156,02306830,a,10,"filled or scattered with a disorderly accumulation of objects or rubbish: ""the storm left the driveway littered with sticks and debris""; ""his library was a cluttered room with piles of books on every chair""",
195161,02307955,a,10,"lacking neatness or order: ""the old man's scraggly beard""; ""a scraggly little path to the door""",
195081,02294143,a,10,"not thin; of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions: ""a thick board""; ""a thick sandwich""; ""spread a thick layer of butter""; ""thick coating of dust""; ""thick warm blankets""; or of a specific thickness; ""an inch thick""",2234
195102,02297874,a,10,"long and thin; resembling a ribbon: ""ribbonlike noodles""",2234
195116,02299936,a,10,"relatively thin in consistency or low in density; not viscous: ""air is thin at high altitudes""; ""a thin soup""; ""skimmed milk is much thinner than whole milk""; ""thin oil""",2234
195150,02305707,a,10,"of places; characterized by order and neatness; free from disorder: ""even the barn was shipshape""; ""a trim little sailboat""",
195157,02307103,a,10,"in disarray; extremely disorderly: ""her clothing was disheveled""; ""powder-smeared and frowzled""; ""a rumpled unmade bed""; ""a bed with tousled sheets""; ""his brown hair was tousled, thick, and curly""-Al Spiers",
195059,02290470,a,10,of a situation; characterized by or causing suspense,
195061,02290807,a,10,being in a tense state; easily upset,
195066,02291516,a,10,"(informal) tense with excitement as from a rush of adrenaline; ""we were really pumped up for the race""",
195071,02292415,a,10,"(of living tissue) in a state of abnormally high tension; ""hypertonic muscle tissue""",2234
195078,02293489,a,10,"(biology) not displaying territoriality; ""a nonterritorial species""",2188
195145,02305063,a,10,"(of persons) neat and smart in appearance; ""a clean-cut and well-bred young man""; ""the trig corporal in his jaunty cap""",2516
195164,02308328,a,10,"spreading out carelessly (as if wandering) in different directions; ""sprawling handwriting""; ""straggling branches""; ""straggly hair""",
195040,02287626,a,10,"extravagant or extreme: ""the inhumanity of his untempered principles""-M.S.Dworkin",
195167,02308970,a,10,"(of hair or clothing) groomed with a brush; ""with shining hair neatly brushed""; ""the freshly brushed clothes hung in the closet""",2371
195174,02310049,a,10,"(of hair or clothing) not brushed; ""snarled unbrushed hair""; ""the suit was wrinkled and unbrushed, as if it had been slept in""",2371
195258,02322228,a,10,"situated at or extending to the side: ""the lateral branches of a tree""; ""shot out sidelong boughs""-Tennyson",
195301,02327956,a,10,"made tough by habitual exposure: ""hardened fishermen""; ""a peasant, dark, lean-faced, wind-inured""-Robert Lynd; ""our successors...may be graver, more inured and equable men""-V.S.Pritchett",
195192,02312637,a,10,"provided with or resembling a tongue; often used in combination: ""tongued shoes""; ""tongued boards""; ""toungued lightning""; ""long-tongued""",
195319,02330565,a,10,"easily managed (controlled or taught or molded); ""tractable young minds""; ""gold is tractable""; ""the natives...being...of an intelligent tractable disposition""-Samuel Butler",1502
195172,02309684,a,10,"not neat and smart in appearance: ""he was wrinkled and ungroomed, with a two-day beard""; ""ungroomed hair""",2371
195184,02311354,a,10,"having or given a name or title: ""many paintings are titled simply ""Untitled""""",
195186,02311696,a,10,"given or having a specified name: ""they called his name Jesus""; ""forces...which Empedocles called ""love"" and ""hate""""; ""an actor named Harold Lloyd""; ""a building in Cardiff named the Temple of Peace""",
195189,02312214,a,10,"not having a title or name: ""his still untitled autobiography""; ""many paintings are titled simply ""Untitled""""",
195196,02313237,a,10,"not provided with a special tip: ""untipped cigarettes""",
195215,02316355,a,10,"able to be tolerated or endured: ""the climate is at least tolerable""",
195216,02316515,a,10,"capable of being borne though unpleasant: ""sufferable punishment""",
195220,02317205,a,10,"impossible to bear: ""unbearable pain""; ""unendurable agony""",
195226,02317939,a,10,"blindly and obstinately attached to some creed or opinion and intolerant toward others: ""a bigoted person""; ""an outrageously bigoted point of view""",
195244,02320440,a,10,"lacking teeth: ""most birds are toothless""; ""a toothless old crone""",
195249,02321114,a,10,"forming or providing a crown or summit: ""the crowning star on a Christmas tree""; ""her hair was her crowning glory""",
195271,02323901,a,10,"computer: ""top-down programming""",
195285,02325783,a,10,"scraped or touched lightly in passing: ""his grazed and bleeding arm proved he had been in the line of fire""",
195308,02329048,a,10,"given to sympathy or gentleness or sentimentality: ""a tender heart""; ""a tender smile""; ""tender loving care""; ""tender memories""; ""a tender mother""",
195326,02331957,a,10,"marked by stubborn resistance to and defiant of authority or guidance: ""a recalcitrant teenager""; ""everything revolves around a refractory individual genius""",
195335,02333304,a,10,"having caterpillar treads or tracks on the wheels: ""a caterpillar-tracked earthmover""",
195343,02334433,a,10,"cut or trimmed by clipping: ""a handsome man with a clipped moustache""; ""clipped hedges""; ""close-clipped lawns""; ""a clipped poodle""",
195348,02335089,a,10,"cut off as by clipping or biting off: ""trees with cropped tops""; ""cropped hedges""; ""her short cropped hair""; ""the cropped grass where sheep had browsed""",
195353,02335970,a,10,"not subjected to cutting or clipping or browsing: ""uncropped hair""; ""a dog with uncropped ears""; ""tall uncropped grass""",
195356,02336391,a,10,"characterized by or indicative of distress or affliction or danger or need: ""troubled areas""; ""fell into a troubled sleep""; ""a troubled expression""; ""troubled teenagers""",
195339,02333887,a,10,"subject to much traffic or travel: ""the region's most heavily traveled highways""",
195235,02319307,a,10,"having teeth especially of a certain number or type; often used in combination: ""saw-toothed""",
195284,02325596,a,10,"touched lightly in passing; grazed against: ""of all the people brushed against in a normal day on a city street I remember not a one""",
195297,02327285,a,10,"containing a large amount of shortening; therefore tender and easy to crumble or break into flakes: ""shortbread is a short crumbly cookie""; ""a short flaky pie crust""",
195324,02331399,a,10,"not tractable; difficult to manage or mold: ""an intractable disposition""; ""intractable pain""; ""the most intractable issue of our era""; ""intractable metal""",1502
195347,02334976,a,10,"not clipped; without a portion cut off: ""unclipped wings""",
195179,02310737,a,10,"not neatly combed; wild unkempt hair""",2371
195266,02323200,a,10,"(of trousers) having legs that flare at the bottom; ""bell-bottomed trousers""",2875
195275,02324343,a,10,"relating to or situated in or characteristic of the tropics (the region on either side of the equator); ""tropical islands""; ""tropical fruit""",
195352,02335764,a,10,"(of plants or trees) shaped by having superfluous branches or shoots trimmed back or cut off; ""abundant fruit from properly pruned vines and fruit trees""",2172
195203,02314539,a,10,"showing the wearing effects of overwork or care or suffering: ""looking careworn as she bent over her mending""; ""her face was drawn and haggard from sleeplessness""; ""that raddled but still noble face""; ""shocked to see the worn look of his handsome young face""-Charles Dickens",
195368,02339493,a,10,"(often followed by ""with"" or used in combination) troubled by or encroached upon in large numbers; ""waters infested with sharks""; ""shark-infested waters""; ""the locust-overrun countryside""; ""drug-plagued streets""",
195376,02341084,a,10,"characterized by freedom from troubling thoughts; especially e.g. guilt; ""a clear conscience""; ""looked at her questioner with clear untroubled eyes""",
195412,02347493,a,10,"not to be trusted: ""how extraordinarily slippery a liar the camera is""-James Agee",
195431,02350443,a,10,"(biology) conforming to the definitive criteria of a natural group; ""the horseshoe crab is not a true (or typical) crab""",2158
195450,02353726,a,10,"raised above ground level; on elevated rails: ""elevated railway""",
195358,02337269,a,10,"causing or fraught with or showing anxiety: ""spent an anxious night waiting for the test results""; ""cast anxious glances behind her""; ""those nervous moments before takeoff""; ""an unquiet mind""",
195374,02340562,a,10,"not beset by troubles or disturbance or distress: ""seemed untroubled by doubts of any kind""; ""untroubled sleep""; ""a kind untroubled face""",
195380,02341685,a,10,"not interfered with or disturbed: ""food supplies were allowed through unmolested""; ""he could pursue his studies undisturbed""",
195389,02343531,a,10,"plausible but false: ""a specious claim""",
195391,02343739,a,10,"not according with the facts: ""unfortunately the statement was simply untrue""; ""the facts as reported were wrong""",
195395,02344415,a,10,"not suspicious: ""deceiving the unsuspecting public""",2516
195404,02346141,a,10,"conforming to fact and therefore worthy of belief: ""an authentic account by an eyewitness""; ""reliable information""; ""a faithful source""",
195406,02346487,a,10,"worthy of being depended on: ""a dependable worker""; ""an honest working stiff""; ""a reliable source of information""; ""he was true to his word""; ""I would be true for there are those who trust me""",
195417,02348035,a,10,"lacking tucks or not being tucked: ""the sheet came untucked""; ""plain untucked shirt front""",
195420,02348560,a,10,"having been turned so that the bottom is no longer the bottom: ""an overturned car""; ""the upset pitcher of milk""; ""sat on an upturned bucket""",
195421,02348776,a,10,"turned inside out and resewn: ""the reversed collar looked as good as new""",
195427,02349429,a,10,"exhibiting the qualities or characteristics that identify a group or kind or category: ""a typical American girl""; ""a typical suburban community""; ""the typical car owner drives 10,000 miles a year""; ""a painting typical of the Impressionist school""; ""a typical romantic poem""; ""a typical case of arteritis""",
195433,02350891,a,10,"not exemplifying a class: ""I soon tumbled to the fact that my weekends were atypical""; ""behavior quite unrepresentative (or atypical) of the profession""",
195438,02351846,a,10,"on or above the surface of the ground: ""aboveground nuclear testing""; ""surface instruments for detecting oil deposits""; ""surface transportation""",
195447,02353169,a,10,"being or operating under the surface of the earth: ""subterranean passages""; ""a subsurface flow of water""",
195454,02354361,a,10,"filled or brimming with tears: ""swimming eyes""; ""watery eyes""; ""sorrow made the eyes of many grow liquid""",
195462,02355316,a,10,"requiring union membership: ""a closed shop""",
195464,02355589,a,10,"not belonging to or not allowing affiliation with a trade union: ""nonunion carpenters""; ""a nonunion contractor""",
195472,02356560,a,10,"having or concerned with polarities or contrasts: ""a Janus-faced view of history""; ""a Janus-faced policy""",
195476,02357483,a,10,"joined together into a whole: ""United Industries""; ""the amalgamated colleges constituted a university""; ""a consolidated school""",
195490,02359962,a,10,"not living together as man and wife: ""decided to live apart""; ""maintaining separate households""; ""they are separated""",
195385,02342823,a,10,"conforming to truth: ""I wouldn't have told you this if it weren't so""; ""a truthful statement""",
195493,02360388,a,10,"resembling a fork; divided or separated into two branches: ""the biramous appendages of an arthropod""; ""long branched hairs on its legson which pollen collects""; ""a forked river""; ""a forked tail""; ""forked lightning""; ""horseradish grown in poor soil may develop prongy roots""",
195381,02341880,a,10,"consistent with fact or reality; not false: ""the story is true""; ""it is undesirable to believe a proposition when there is no ground whatever for supposing it true""-B. Russell; ""the true meaning of the statement""",
195441,02352287,a,10,"(of mines and mining) worked from the exposed surface; ""opencast mining""; ""an opencut iron mine""; ""a strip mine""",
195482,02358324,a,10,"(usually followed by ""with"") united in effort as if in a league; ""they found out that some policemen were in league with the criminals""",
195488,02359199,a,10,"(zoology) having a body that is not divided into segments; ""unsegmented worms""",2188
195496,02361096,a,10,"(biology) divided into or containing two cells or chambers; ""having a bilocular capsule""",2158
195396,02344540,a,10,"having or showing distrust: ""a man of distrustful nature""; ""my experience...in other fields of law has made me distrustful of rules of thumb generally""-B.N.Cardozo; ""vigilant and distrustful superintendence""-Thomas Jefferson",2516
195515,02363897,a,10,"(biology) of similar parts or organs; closely joined or united; ""a connate tomato flower""",2158
195523,02365051,a,10,"(botany) growing or extending upward; ""an assurgent stem or leaf""",2172
195627,02381241,a,10,"plausible but false: ""specious reasoning""; ""the spurious inferences from obsolescent notions of causality""-Ethel Albert",
195507,02362761,a,10,"having prongs or tines; usually used in combination: ""a three-tined fork""",
195513,02363565,a,10,"disrupted by the pull of contrary forces: ""torn between love and hate""; ""torn by conflicting loyalties""; ""torn by religious dissensions""",
195526,02365466,a,10,"extending or moving toward a higher place: ""the up staircase""; ""a general upward movement of fish""",
195533,02366437,a,10,"coming down freely under the influence of gravity: ""the eerie whistle of dropping bombs""; ""falling rain""",
195536,02366892,a,10,"suddenly losing an upright position: ""they ran from the falling tree""; ""a falling wall crushed the car""",
195541,02367629,a,10,"advancing or becoming higher or greater in degree or value or status: ""a rising trend""; ""a rising market""",
195545,02368230,a,10,"becoming progressively lower: ""steadily declining incomes""; ""the down trend in the real estate market""",
195549,02368818,a,10,"coming after the climax especially of a dramatic or narrative plot: ""the falling action""",
195552,02369354,a,10,"relating to people with good incomes: ""an upscale neighborhood""",
195557,02370010,a,10,"capable of being put into another form or style or language: ""substances readily translatable to the American home table""; ""his books are eminently translatable""",
195560,02370549,a,10,"having or resembling claws or nails: ""unguiculate animals""; ""an unguiculate flower petal""",
195573,02372693,a,10,"being or moving lower in position or less in some value: ""lay face down""; ""the moon is down""; ""our team is down by a run""; ""down by a pawn""; ""the stock market is down today""",
195581,02374110,a,10,"caused to fall to the ground: ""the thrown rider got back on his horse""; ""a thrown wrestler""; ""a ball player thrown for a loss""",
195584,02374540,a,10,"on or of upper floors of a building: ""the upstairs maid""; ""an upstairs room""",
195589,02375183,a,10,"of or located in the upper part of a town: ""uptown residential areas""",
195598,02376874,a,10,"of service or assistance: ""a child who is helpful around the house can save the mother many steps""",2234
195603,02377449,a,10,"having utility often to the exclusion of values: ""plain utilitarian kitchenware""",2234
195607,02378162,a,10,"producing no result or effect: ""a futile effort""; ""the therapy was ineffectual""; ""an otiose undertaking""; ""an unavailing attempt""",2234
195614,02379369,a,10,"well grounded in logic or truth or having legal force: ""a valid inference""; ""a valid argument""; ""a valid contract""; ""a valid license""",
195621,02380573,a,10,"not capable of being collected: ""a bad (or uncollectible) debt""",
195622,02380702,a,10,"containing or based on a fallacy: ""fallacious reasoning""; ""an unsound argument""",
195631,02382040,a,10,"of great worth or quality: ""a rich collection of antiques""",
195633,02382345,a,10,"held in great esteem for admirable qualities especially of an intrinsic nature: ""a valued friend""",
195637,02383062,a,10,"without merit: ""a sorry horse""; ""a sorry excuse""; ""a lazy no-count, good-for-nothing goldbrick""; ""the car was a no-good piece of junk""",
195642,02383989,a,10,"gaudy and showy but valueless: ""trumpery ornaments""",
195645,02384454,a,10,"subject to change: ""a changeable climate""; ""the weather is uncertain""; ""unsettled weather with rain and hail and sunshine coming one right after the other""",
195648,02384946,a,10,"changeable or inconstant: ""versatile moods""",
195650,02385304,a,10,"persistent in occurrence and unvarying in nature: ""maintained a constant temperature""; ""a constant beat""; ""principles of unvarying validity""; ""a steady breeze""",
195654,02386160,a,10,"having many aspects: ""a many-sided subject""; ""a multifaceted undertaking""; ""multifarious interests""; ""the multifarious noise of a great city""",2234
195659,02386861,a,10,"having great diversity or variety: ""his various achievements are impressive""; ""his vast and versatile erudition""",2234
195620,02380291,a,10,"having no cogency or legal force: ""invalid reasoning""; ""an invalid driver's license""",
195563,02370942,a,10,"being or moving higher in position or greater in some value; being above a former position or level: ""the anchor is up""; ""the sun is up""; ""he lay face up""; ""he is up by a pawn""; ""the market is up""; ""the corn is up""",
195596,02376251,a,10,"of persons; taken advantage of: ""after going out of his way to help his friend get the job he felt not appreciated but used""",
195611,02378841,a,10,"not practical or realizable; speculative: ""airy theories about socioeconomic improvement""; ""visionary schemes for getting rich""",
195640,02383606,a,10,"serving no useful purpose; having no excuse for being: ""otiose lines in a play""; ""advice is wasted words""",
195569,02372181,a,10,"(of growing vegetation) having just emerged from the ground; ""the corn is sprouted""",2172
195591,02375498,a,10,"employed in accomplishing something: ""the principle of surprise is the most used and misused of all the principles of war""-H.H.Arnold & I.C.Eaker",
195695,02392515,a,10,"characteristic of someone who employs terrorism (especially as a political weapon); ""terrorist activity""",
195710,02395065,a,10,"(of a celestial body) continually visible above the horizon during the entire 360 degrees of daily travel; ""a circumpolar star""",2076
195678,02389630,a,10,"thoroughly acquainted with and skilled in something through study or experience: ""well versed in classical languages""",
195682,02390293,a,10,"that can be violated: ""a violable rule""; ""a violable contract""",
195686,02390806,a,10,"acting with or marked by or resulting from great force or energy or emotional intensity: ""a violent attack""; ""a violent person""; ""violent feelings""; ""a violent rage""; ""felt a violent dislike""",
195691,02391980,a,10,"violently urging on by whipping or flogging: ""looked at the lashing riders""",
195692,02392109,a,10,"horrible in fierceness or savagery: ""lurid crimes""; ""a lurid life""",
195713,02395591,a,10,"including everything visible in one view: ""a panoptic aerial photograph of the missile base""; ""a panoptic stain used in microscopy""",
195718,02396532,a,10,"not accessible to view: ""concealed (or hidden) damage""; ""in stormy weather the stars are out of sight""",
195739,02399744,a,10,"without payment: ""the soup kitchen was prmarily by unpaid helpers""; ""a volunteer fire department""",
195753,02402281,a,10,"vulnerable to danger especially of discredit or suspicion: ""she found herself in a compromising situation""",
195759,02403088,a,10,"subjected to enemy attack or censure: ""an official under fire for mismanagement""",
195760,02403246,a,10,"lacking protection or a guard: ""an unguarded gate""; ""his unguarded queen was open to attack""",
195763,02403886,a,10,"able to resist the explosive force of bombs and shells: ""bombproof shelter""",
195767,02404410,a,10,"set so close together as to be invulnerable to penetration: ""in tight formation""; ""a tight blockade""",
195772,02405383,a,10,"wanted intensely: ""the child could no longer resist taking one of the craved cookies""; ""it produced the desired effect""",
195777,02406211,a,10,"capable of being discarded or renounced or relinquished: ""abdicable responsibilites""",
195785,02407344,a,10,"having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat: ""a warm body""; ""a warm room""; ""a warm climate""; ""a warm coat""","2097,2234"
195796,02409028,a,10,"kept cool or designed to be kept cool by means of water especially circulating water: ""a water-cooled engine""",2234
195813,02411885,a,10,"capable of being washed without injury: ""washable woolens""; ""acrylic blankets are both warm and washable""",
195665,02387792,a,10,"revealed; especially by having a veil removed: ""a new generation of unveiled women in Iran""; ""applauding the unveiled statue of Winston Churchill""",
195689,02391583,a,10,"characterized by violent and forceful activity or movement; very intense: ""the fighting became hot and heavy""; ""a hot engagement""; ""a raging battle""; ""the river became a raging torrent""",
195704,02393856,a,10,"characterized by iniquity; wicked because it is believed to be a sin: ""iniquitous deeds""; ""he said it was sinful to wear lipstick""; ""ungodly acts""",
195708,02394546,a,10,"perceptible especially by the eye; or open to easy view: ""a visible object""; ""visible stars""; ""mountains visible in the distance""; ""a visible change of expression""; ""visible files""",
195719,02396714,a,10,"having or employing wavelengths longer than light but shorter than radio waves; lying outside the visible spectrum at its red end: ""infrared radiation""; ""infrared photography""",
195769,02404762,a,10,"having or surrounded by walls or walls of a specified kind; sometimes used as a combining term: ""the ancient walled city of Jerico""; ""thick-walled cells""",
195793,02408612,a,10,"made or become cool or made cool as specified; often used as a combining form: ""put the cooled soup in the refrigerator""; ""air-cooled""",2234
195799,02409574,a,10,"psychologically cool; unfriendly or unresponsive or showing dislike: ""relations were cool and polite""; ""a cool reception""; ""cool to the idea of higher taxes""",1502
195729,02398145,a,10,"(chemistry) evaporating readily at normal temperatures and pressures; ""volatile oils""; ""volatile solvents""",2111
195748,02401195,a,10,"(physiology) without volition or conscious control; ""the automatic shrinking of the pupils of the eye in strong light""; ""a reflex knee jerk""; ""sneezing is reflexive""",2234
195758,02402895,a,10,"(of flora or fauna) likely in the near future to become endangered; ""the spotted owl is a threatened species, not yet an endangered one""",2158
195780,02406675,a,10,"(India) not belonging to or having been expelled from a caste and thus having no place or status in society; ""the foreigner was a casteless person""",1675
195802,02410170,a,10,"(color) inducing the impression of warmth; used especially of reds and oranges and yellows; ""warm reds and yellows and orange""",2104
195809,02411254,a,10,of animals except birds and mammals; having body temperature that varies with the environment,2188
195818,02412504,a,10,"(of the moon) becoming full; ""the waxing moon passes from new to full""",2076
195674,02389133,a,10,"lacking fresh air: ""a dusty airless attic""; ""the dreadfully close atmosphere""; ""hot and stuffy and the air was blue with smoke""",
195857,02417812,a,10,"(economics) associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money; ""deflationary measures""",1753
195908,02426122,a,10,"(of soil) soft and watery; ""the ground was boggy under foot""; ""a marshy coastline""; ""miry roads""; ""wet mucky lowland""; ""muddy barnyard""; ""quaggy terrain""; ""the sloughy edge of the pond""; ""swampy bayous""",2121
195826,02413741,a,10,"increasing in area or volume or bulk or range: ""an expanding universe""; ""an expanding economy""",
195829,02414183,a,10,"increasing in size or degree or amount: ""her growing popularity""; ""growing evidence of a world depression""; ""a growing city""; ""growing businesses""",
195935,02430839,a,10,"(used especially of vegetation) having lost all moisture; ""dried-up grass""; ""the desert was edged with sere vegetation""; ""shriveled leaves on the unwatered seedlings""; ""withered vines""",2172
195833,02414758,a,10,"tending or having the power to multiply or increase in number or quantity or degree: ""the multiplicative tendency of proportional representation""",
195841,02415867,a,10,"tending to decrease or cause a decrease in value: ""a depreciating currency""; ""depreciatory effects on prices""",
195847,02416709,a,10,"becoming less in dimension or degree: ""the lessening distance between us""",
195863,02418775,a,10,"abounding with or resembling weeds: ""a weedy path""; ""weedy plants that take over a garden""",
195866,02419103,a,10,"giving pleasure or satisfaction or received with pleasure or freely granted: ""a welcome relief""; ""a welcome guest""; ""made the children feel welcome""; ""you are welcome to join us""",
195885,02422743,a,10,"afflicted with or or associated with pulmonary tuberculosis: ""a consumptive patient""; ""a consumptive cough""",
195893,02424049,a,10,"experiencing odd bodily sensations: ""told the doctor about the funny sensations in her chest""",
195896,02424364,a,10,"ill and usually confined: ""laid up with a bad cold""",
195901,02424834,a,10,"suffering from spastic paralysis: ""a spastic child""",
195902,02424939,a,10,"constituting or afflicted with or caused by tuberculosis or the tubercle bacillus: ""a tubercular child""; ""tuberculous patients""; ""tubercular meningitis""",
195912,02427091,a,10,"having liquid falling in drops: ""in the dripping fog""; ""the scene where he is singing in the rain in dripping clothes""; ""there was little shelter under the dripping trees""",
195918,02427972,a,10,"being wet with perspiration: ""the perspiring runners""; ""his sweating face""; ""sweaty clothes""",
195921,02428439,a,10,"soaked with moisture: ""a soggy lawn""; ""the flood left waterlogged fields""",
195923,02428719,a,10,"moist as with undried perspiration and with clothing sticking to the body: ""felt sticky and chilly at the same time""",
195934,02430742,a,10,"depleted of water: ""a dried-up water hole""",
195941,02431728,a,10,"having recently calved and therefore able to give milk: ""the cow is fresh""",
195944,02432042,a,10,"supporting or permitting the legal production and sale of alcoholic beverages: ""a wet candidate running on a wet platform""; ""a wet county""",
195950,02432871,a,10,"having no wheels or having no wheeled vehicles: ""dragging a wheelless stoneboat filled with rocks""; ""wheelless societies""",
195953,02433516,a,10,"engaged in by members of a profession: ""professional occupations include medicine and the law and teaching""",
195957,02434158,a,10,"doing or requiring physical work: ""manual labor""; ""manual laborer""",
195967,02436166,a,10,"suggesting an unhealthy mental state: ""morbid interest in death""; ""morbid curiosity""",
197840,02683628,a,10,"of or relating to the nervous system: ""nervous disease""; ""neural disorder""",2233
195875,02420743,a,10,"freed from illness or injury: ""the patient appears cured""; ""the incision is healed""; ""appears to be entirely recovered""; ""when the recovered patient tries to remember what occurred during his delirium""-Normon Cameron",
195928,02429323,a,10,"free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet: ""dry land""; ""dry clothes""; ""a dry climate""; ""dry splintery boards""; ""a dry river bed""; ""the paint is dry""",
195931,02430251,a,10,"without a trace of moisture; as dry as a weathered bone: ""bone-dry leaves are a fire hazard""; ""a drier to get the clothes bone dry""",
195911,02426759,a,10,"wet through and through; thoroughly wet: ""stood at the door drenched (or soaked) by the rain""; ""a shirt saturated with perspiration""; ""his shoes were sopping (or soaking)""; ""the speaker's sodden collar""; ""soppy clothes""",
195959,02434492,a,10,"conducive to or characteristic of physical or moral well-being; ""wholesome attitude""; ""wholesome appearance""; ""wholesome food""",
195964,02435610,a,10,"detrimental to physical or moral well-being; ""unwholesome food""; ""unwholesome habits like smoking""",
195969,02436517,a,10,"having great (or a certain) extent from one side to the other; ""wide roads""; ""a wide necktie""; ""wide margins""; ""three feet wide""; ""a river two miles broad""; ""broad shoulders""; ""a broad river""",2234
195961,02434951,a,10,"promoting health; healthful: ""a healthy diet""; ""clean healthy air""; ""plenty of healthy sleep""; ""healthy and normal outlets for youthful energy""; ""the salubrious mountain air and water""-C.B.Davis; ""carrots are good for you""",2242
196034,02446577,a,10,resembling an owl; solemn and wise in appearance,
196077,02453259,a,10,"made or consisting of (entirely or in part) or employing wood; ""a wooden box""; ""an ancient cart with wooden wheels""; ""wood houses""; ""a wood fire""",2172
196082,02454066,a,10,"concerned with worldly necessities of life (especially money); ""he wrote the book primarily for economic reasons""; ""gave up the large house for economic reasons""; ""in economic terms they are very privileged""",
196104,02458437,a,10,"worn or shabby from overuse or (of pages) from having corners turned down; ""a somewhat dog-eared duke...a bit run down""-Clifton Fadiman ""an old book with dog-eared pages""",
195974,02437613,a,10,"occurring or extending throughout a country or nation: ""the event aroused nationwide interest""; ""a countrywide fund-raising campaign""",2234
196100,02457831,a,10,"at an advanced stage of erosion (pronounced as one syllable); ""aged rocks""",
195980,02438434,a,10,"spreading over a wide area: ""under the spreading chestnut tree""; ""the spreading circle of lamplight""; ""wide-spreading branches""",2234
195982,02438766,a,10,"extending far: ""beyond the misty gray of the rain he saw the stretching hutment""; ""wide-spreading plains""",2234
195987,02439684,a,10,"reduced in size as by squeezing together: ""his narrowed eyes""",2234
195992,02440272,a,10,"more than adequate: ""the home team had a comfortable lead""",
195994,02440526,a,10,"just barely adequate or within a lower limit: ""a bare majority""; ""a marginal victory""",
195996,02440800,a,10,"difficult to use or handle or manage because of size or weight or shape: ""we set about towing the unwieldy structure into the shelter""; ""almost dropped the unwieldy parcel""",
196003,02442005,a,10,"disposed or inclined toward: ""a willing participant""; ""willing helpers""",1502
196008,02442793,a,10,"with deliberate intention: ""a volitional act""",1502
196012,02443382,a,10,"unwillingness to do something contrary to your custom: ""a reluctant smile""; ""loath to admit a mistake""; ""unwilling to face facts""",1502
196016,02444113,a,10,"having winglike extensions: ""alate leaves""; ""alate seeds of a maple tree""",2188
196027,02445401,a,10,"having hidden electronic eavesdropping devices: ""wired hotel rooms""; ""even the car is bugged""",
196033,02446262,a,10,"acutely insightful and wise: ""much too perspicacious to be taken in by such a spurious argument""; ""observant and thoughtful, he was given to asking sagacious questions""; ""a source of valuable insights and sapient advice to educators""",
196041,02448193,a,10,"very foolish: ""harebrained ideas""; ""took insane risks behind the wheel""; ""a completely mad scheme to build a bridge between two mountains""",
196052,02449977,a,10,"abounding in trees: ""an arboreous landscape""; ""violets in woodsy shady spots""; ""a woody area near the highway""",
196058,02450829,a,10,"abounding in rushes: ""a rushy marsh""",
196061,02451201,a,10,"covered with growing timber: ""thickly timbered ridges clothed with loblolly pine and holly""; ""hills timbered up to their summits""",
196066,02451825,a,10,"made of or containing or resembling wood: ""woody plants""; ""perennial herbs with woody stems""; ""a woody taste""",2172
196075,02452987,a,10,"consisting of or made of wood of the oak tree: ""a solid oak table""; ""the old oaken bucket""",2172
