070,a,9,"whichever, whichsoever (of two)",
207625,L5816348,n,9,an ancient Grecian painter,
207626,L6792013,n,9,"a tribe of Goths, divided into the East Burgundians, who dwelt between the Oder and the Vistula, and the West Burgundians, upon the upper Main",
207627,L6711062,n,9,a city of Achaia,2775
207628,L2066334,n,9,"son of Amycus, king of the Bebrycians, slain by Dares at the tomb of Hector",
207629,L1300140,n,9,"a city of the Greek tribe of the Chaonians, later a Roman colony and a bishopric",2775
207630,L1871933,n,9,a small island near Crete,2775
207631,L6692293,n,9,a Greek writer on the Pyramids of Egypt,
207632,L5205727,n,9,"the chief city of the nomos Ptenethu in Egypt, upon the Sebennytic mouth of the Nile",2775
207633,L7814508,n,9,"a river of Bruttia, now the Bruciano",2775
207634,L8818252,n,9,"a town of Calabria, now Bitonte",2775
207636,L3503048,n,9,a town in Illyria,2775
207637,L5578649,n,9,the citadel of Carthage,
207638,L9459975,n,9,"a province in Africa Propria, between the river Triton and the Lesser Syrtis",2775
207639,L2943656,n,9,a Roman cognomen,2792
207640,L8489940,n,9,"the Cabiri, deities worshipped by the Pelasgi as tutelary geniain whose honor mysteries were celebrated at Lemnos and Samothrace",
207641,L8295261,n,9,a town in Thrace,2775
207642,L9224399,n,9,title of a mime of Laberius,
207676,L5000900,n,9,a character in the Trinummus of Plautus,
207678,L5422100,n,9,"a mountain in Locris, near Thermopyloe, part of the Oeta range",2775
207671,L8843971,a,9,"an island on the eastern coast of Argolis, now Poro",2775
207645,L6518435,n,9,"a people in Gallia Narbonensis, whose capital was Divona, now Cahors",
207646,L5502951,n,9,"a people in Media, on the Caspian Sea",
207647,L4864835,n,9,"two small islands, opposite the promontory of Spiroeum, in Argolis",2775
207648,L3865665,a,9,"Caecilian, of Caecilius",
207649,L8771066,n,9,"a river in Etruria, now the Cecina",2775
207650,L7646434,n,9,"a marshy place in Southern Latium, near Amycloe, distinguished for producing the most excellent kind of Roman wine",2775
207651,L9245233,n,9,a people of Umbria,1696
207652,L5094591,n,9,"an administrative region of Rome, created by Augustus",2775
207653,L7333664,n,9,a town in Venetia,2775
207654,L8588557,n,9,a Lapith hero of Thessaly,
207655,L9661988,n,9,"a small but very ancient town in Latium, near Rome, now Ciano",2775
207656,L3719635,n,9,the name of an aqueduct at Rome,
207658,L1987311,n,9,"son of Coesar by Cleopatra, put to death by the command of Augustus",
207659,L7145687,n,9,"a town in Gallia Cispadana, now Cesena",2775
207660,L4897764,n,9,the nomen of a plebeian gens,2792
207661,L3460393,n,9,a river of Greater Mysia,2775
207662,L8159658,n,9,the nurse of Aeneas,
207663,L7100511,n,9,"the country in Lower Italy from Tarentum to the promontory Iapygium, now Terra d'Otranto",
207664,L9867262,n,9,"a town on the north coast of Sicily, now Caronia",2775
207665,L7847059,n,9,"a town in Hispania Tarraconensis, in the region of the Ilergetes, north of Osca, now Loarre",2775
207666,L1389474,n,9,"the winged son of Boreas and Orithyia, and brother of Zetes, with whom he accompanied the Argonauts",
207667,L1417170,n,9,a distinguished Greek sculptor and artificer in metals,
207669,L8026640,n,9,a Greek painter,
207670,L6536910,n,9,"a town in Campania, on the Via Appia, between Capua and Beneventum, now Galazze",2775
207672,L9214426,n,9,"the name given by the Romans to the land in today's Scotland, north of their province of Britannia, beyond the frontier of their empire",2775
207673,L9555278,n,9,a town in Hispania Baetica,2775
207674,L4447663,n,9,"a town in Southern Campania, celebrated for its good wine, now Calvi",2775
207675,L8222950,a,9,of or belonging to Caletra in Etruria,
207677,L4280547,n,9,"a low mountain in Campania, not far from Casilinum",2775
207679,L3198636,n,9,"a town in the region of the Hirpini, now Calvise",2775
207680,L7394531,n,9,a distinguished Greek poet and grammarian of Cyrene,2748
207681,L9824733,n,9,"the chief of the Muses, goddess of epic poetry",1666
207682,L4209529,n,9,a character in the Pseudolus of Plautus,
207683,L3458609,n,9,"a Greek philosopher who considered virtue, joined with pleasure, as the highest good",1545
207684,L7712934,n,9,a Grecian runner who made no progress,
207685,L9590218,n,9,"a Grecian city of Calabria, now Gallipoli",2775
207686,L2355953,n,9,"a naiad, the daughter of Oceanus and Tethys",
207688,L9173564,n,9,daughter of the Arcadian king Lycaon,
207689,L8078808,n,9,a Grecian orator,
207690,L6806519,n,9,a statuary of Aegina,
207691,L5784506,n,9,"a river in Samnium, now the Calore",2775
207692,L8601059,n,9,"one of the pillars of Hercules in Hispania Baetica, now Rock of Gibraltar",
207693,L6046313,n,9,"a Calpo Numae regis filio, Fest",
207694,L7671225,n,9,the name of a notorious woman of rank,
207695,L2388204,n,9,a river and promontory of Cilicia,2775
207696,L9787889,n,9,"a very ancient town in Aetolia, on the river Evenus, built by a hero of the same name",2775
207697,L7972170,n,9,"an island in the Aegean Sea, not far from Rhodes, distinguished for its honey, now Kalimno",2775
207698,L1301792,n,9,"a nymph, daughter of Atlas, who ruled in the Island Ogygia",
207699,L2398088,n,9,a mountain range on the boundary between Thessaly and Macedonia,2775
207700,L6637880,n,9,"the husband of Mandane, and father of the elder Cyrus",
207701,L2863425,a,9,of or relating to the Muses,
207702,L6097204,n,9,"a town in Umbria, on the borders of Picenum, now Camerino",2775
207703,L5268208,n,9,"a mythic king in Italy, contemporary with Janus",1566
207706,L5503515,n,9,"the very fruitful and luxurious province of Campania, in Middle Italy, whose chief city was Capua, now Terra di Lavoro",2775
207707,L2142319,n,9,"a town of the Trinobantes in Britain, the first Roman colony under Claudius, now Colchester",2775
207708,L8666053,n,9,"daughter of Aeolus, who, living in incest with her brother Macareus, bore a son to him, and was forced by her father to kill herself",
207709,L1381304,n,9,the name of two artists of Sicyon,
207710,L9545633,n,9,"a town on the coast of Aeolis, opposite Mytilene, now Kanot-Koli",2775
207711,L2061848,n,9,a queen of Meroë,
207712,L8787304,n,9,"daughter of Janus, and wife of Picus",
207713,L3663665,n,9,a people dwelling upon the Batavian peninsula,
207714,L9060601,a,9,of or pertaining to Caninius Gallus,
207715,L2747548,n,9,a small river tributary to the Po,2775
207716,L7226737,n,9,"a village in Apulia, north of Canusium, famous for the victory of Hannibal over the Romans",
207717,L5975561,n,9,"the brightest star in the constellation Argo, Manil",
207718,L9630600,n,9,"a tributary of the Indus, now Tschandrabagha",
207720,L6079748,n,9,"a people in Sarmatia Asiatica, near Palus Maeotis",
207721,L9423139,n,9,a place in Thrace near Olynthus,2775
207722,L8686121,n,9,nom,
207723,L8323434,a,9,Inscr,
207724,L1219048,n,9,a son of Hipponous and Astynome,
207725,L3969148,n,9,"a Tuscan town founded by the Veientes, or at least dependent upon them",2775
207726,L9227875,n,9,a people of Lusitania,1696
207727,L8718012,n,9,a fabulous king of Alba,
207729,L4641431,a,9,of or belonging to the town Capitium,2775
207730,L7425646,n,9,a town in Sicily,2775
207731,L2132698,n,9,"a Roman cognomen, Atteius Capito",2792
207732,L5072319,n,9,"Capitolium, of or pertaining to the Capitol, Capitoline",
207733,L5302880,a,9,"in a restricted sense, the Capitol, the temple of Jupiter, at Rome, built on the summit of Mons Saturnius or Tarpeius by the Tarquinii, and afterwards splendidly adorned",1666
207734,L2095100,n,9,a town of the Hernici in Latium,2775
207735,L9785690,n,9,"a country of Asia Minor, north of Cilicia, between the Taurus and Pontus, now called Caramania",
207736,L1037402,n,9,"a river in Cappadocia, from which this province is said to have derived its name",2775
207737,L1412050,n,9,"an island in the Tyrrhene Sea, near Campania, now Capri",2775
207738,L4456381,n,9,"the chief city of Campania, celebrated for its riches and luxury, now Sta",2775
207739,L7207022,n,9,"son of Assaracus, and father of Anchises",
207740,L7754502,n,9,"the chief city of Sardinia, now Cagliari",2775
207741,L8492080,n,9,a Roman cognomen in the gens Papiria,2792
207742,L4532698,n,9,Carchedonian,
207743,L3561693,n,9,a town of European Scythia,2775
207744,L8296257,n,9,the constellation Cancer,
207745,L1243722,n,9,"a province in Asia Minor, south of Lydia, now the provinces Aïdin and Mentesche in Ejalet Anadoli",2775
207746,L6488110,n,9,a mountain in Crete,2775
207747,L2519105,n,9,"a people on the Persian Gulf, now Kerman and Laristan",
207748,L9465322,n,9,", Mount Carmel, a high, steep mountain in Phoenicia, on the sea-coast, now Karmel or Karmul",2775
207749,L4404028,n,9,"a city of Hispania Baetica, now Carmona",2775
207750,L1666972,n,9,"a distinguished philosopher of Cyrene, a pupil of the Stoic Diogenes, the founder of the New Academy in Athens",1545
207751,L2000063,n,9,"a Celtic people in Upper Italy, east of Aquileia, extending to Cärnthen, now Krain",
207752,L5402690,n,9,"a people in Gaul, on both sides of the Liger, whose chief town was Autricum, now Chartres, in the Départ",2775
207753,L3299912,n,9,"an island in the Aegean Sea, between Crete and Rhodes, now Scarpanto",2775
207754,L8677774,n,9,"a people in Hispania Tarraconensis, the south-western neighbors of the Celtiberi",
207755,L2125896,n,9,"the pro-magister of the Publicani in Sicily under Verres, and one of the chief agents in his robberies",
207757,L3463988,n,9,"a town of the Aequi, in Latium, now the village Carsoli",2775
207758,L2125770,n,9,"a town of Umbria, now Casigliano",2775
207759,L4812993,n,9,"a very ancient seaport town in Hispania Baetica, now near Rocadillo",2775
207760,L2462943,n,9,"a town on the south coast of the Cycladic island Ceos or Cea, now Poles",2775
207761,L9320539,a,9,of Carvilius,
207762,L8669900,n,9,"a village in Laconia, with a temple of Diana Caryatis",1666
207764,L6660200,n,9,a Roman cognomen in the gens Servilia,2792
207765,L3468163,n,9,"a town in Campania, on the Vulturnus, near the ancient Capua",2775
207766,L1907470,n,9,"a son of Antipater, and king of Macedonia after the death of Alexander the Great",
207768,L8627966,n,9,"a town in Macedonia, upon the peninsula Pallene, previously called Potidoea, but rebuilt by Cassander",2775
207769,L5035900,n,9,"a town in Corcyra, now Cassopo or Cassiope",2775
207770,L8068815,a,9,of Cassius,
207771,L1003260,n,9,a town of Cilicia,2775
207772,L7913186,n,9,"a fountain on Parnassus, sacred to Apollo and the Muses",1666
207773,L9157650,n,9,a town in Magnesia,2775
207774,L1521137,n,9,"the son of the Spartan king Tyndarus and Leda, brother of Helena and Pollux, with whom, as twin star",
207775,L9515048,a,9,of Castrum Inui,
207776,L6635872,n,9,"a river of Albania, that flows into the Caspian Sea",2775
207777,L4596948,n,9,"the celebrated cataract of the Nile, near Syene, on the borders of Egypt, now Chellal",
207778,L1760519,n,9,serving for ridicule,
207779,L3796550,n,9,"a statue of Praxiteles, representing Ceres as bringing back Proserpine to Pluto",
207780,L1137655,n,9,a province in Southern Cappadocia,2775
207781,L1922420,n,9,an epithet of the artist Callimachus,
207782,L1232681,n,9,the name of a woman,
207783,L8503540,a,9,"pertaining to Catiline, Catilinarian",
207784,L1208189,n,9,"a town on the east coast of Sicily, at the foot of Aetna, now Catania",2775
207785,L7239517,n,9,an Epicurean philosopher,1545
207787,L3620046,n,9,"a small but ancient city of Samnium, near Benevento, celebrated for the narrow mountain pass where the Roman army was shut in by the Samnites",2775
207788,L2779253,n,9,a river of Pamphylia,2775
207789,L1249696,n,9,"a very ancient town on the coast of Caria, now Kaiguez",2775
207790,L4989864,n,9,a people of Grecian Illyria,1696
207791,L2103648,n,9,"a river in Lydia, which rises in Mount Tmolus, and falls into the sea at Ephesus, celebrated for the great number of its swans, now Kara - Su",2775
207792,L9711225,n,9,a river in Troas,2775
207793,L8830477,n,9,"the most ancient king of Attica, who went there from the Egyptian Sais, and was founder of the citadel of Athens",
207794,L2658843,n,9,An Egyptian companion of Phineus,
207795,L4420088,n,9,"a town of Phrygia, on the Moeander",2775
207796,L2263586,n,9,"a daughter of Atlas and Pleione, and one of the Pleiades",
207797,L8722036,n,9,"a town in Noricum, now Cilly, in Stiria",2775
207798,L6933986,n,9,"a fortified harbor in Cilicia, now Kelenderi, the Turkish Gulnar",
207799,L8084153,n,9,"a Roman cognomen in the gens Caecilia, Domitia, Egnatia",2792
207800,L6677963,n,9,the chief of the Celeres,
207802,L6087593,n,9,"a town of Macedonia, now Castoria",2775
207803,L6012675,n,9,"a king in Eleusis, father of Triptolemus",
207804,L3308431,n,9,"one of the Dactyli or Corybantes, priests of Cybele",
207805,L2468954,n,9,"a great parent-stock of people in the north of Europe, the Celts",
207806,L2421664,n,9,"a people in Middle Spain, which originated by a mingling of the Celts with the native-born Iberians",
207807,L5632174,n,9,"the north-western point of the island of Euboea, now Cape Litar",2775
207808,L1928954,n,9,"one of the three harbors of Corinth, on the Saronic Gulf, now Kenkri",
207809,L9531470,n,9,a Celtic people in Gallia Cisalpina,
207810,L6213083,n,9,a fictitious name of a part of Thessaly,
207811,L3762130,n,9,a people of Gaul,1696
207812,L7953050,n,9,"a seaport town in Etruria, now Civita Vecchia",2775
207813,L1112567,a,9,"or the largest island in the Ionian Sea, now Cephalonia",2775
207814,L7741412,n,9,"a son of Deïoneus or of Pandion, a grandson of Aeolus",
207815,L6180830,n,9,"a king of Ethiopia, husband of Cassiope",
207817,L7509354,n,9,"the name of two places, one within and the other without Athens",2775
207818,L5464532,n,9,"the hurling of the thunderbolts, a painting of Apelles",
207819,L2322442,n,9,"ancient name of the town Cimmerium, on the Cimmerian Bosphorus",2775
207820,L8427650,n,9,the three-headed monster Cerberus,
207821,L5787456,n,9,a people of Pontus,1696
207822,L1760803,n,9,a southern spur of Mount Pindus in Thessaly,
207823,L8574692,n,9,"an island off the east coast of Africa, with a town of the same name, now Kerkein or Kerkena",2775
207883,L9229100,n,9,pure Etrusc,
207825,L1031780,n,9,"a celebrated robber in Attica, conquered and slain by Theseus at Eleusis",
207826,L3777465,n,9,a people of Liguria,1696
207827,L3349331,n,9,Ceres,
207828,L3064210,n,9,a Roman lady mentioned in the letters of Cicero,
207830,L2227947,n,9,the name of a Roman plebeian family,
207831,L7843787,n,9,the inhabitants of a city of Sicily,2775
207832,L2898931,n,9,a Roman cognomen in the Cornelian gens,2792
207833,L5710650,n,9,"the wife of Phorcus, and mother of Medusa and the Gorgons",
207834,L6207108,n,9,a Grecian proper name,
207835,L7899001,n,9,"a Boeotian town on the Cephisus, where Philip of Macedon conquered the Greeks",2775
207836,L3996017,n,9,"a town in Bithynia, on the Thracian Bosporus, opposite Byzantium",2775
207837,L5900059,n,9,"among the Romans, a temple of Minerva",1666
207838,L7054238,n,9,"a daughter of Aeetes, sister of Medea, and wife of Phrixus",
207840,L6072169,n,9,"the Chaldoeans, a people of Assyria, distinguished, in an early age, for their knowledge of astronomy and astrology",1696
207841,L3066043,n,9,"a people in Pontus, noted for their mines and their preparation of steel",
207842,L7281923,n,9,"a people in the north-west part of Epirus, named after Chaon, the Chaonians",
207843,L9795123,n,9,a town in Syria,2775
207844,L5011212,n,9,"a fortress in the valley of Tempe, now Carisso",
207845,L9907610,n,9,a Greek proper name,
207846,L1050740,n,9,"a nymph, mother of Ocyrhoë, by the Centaur Chiron",
207847,L8656359,n,9,"a Greek orator, imitator of Lysias",
207848,L8846864,n,9,the Charites or Graces,
207849,L7268696,n,9,"An Academic philosopher, pupil of Carneades",1545
207850,L6790196,n,9,"Charon, a ferryman in the Lower World",
207851,L2660362,n,9,a distinguished lawgiver in Catana,
207852,L1358292,n,9,a German people in the present Hesse and Thuringia,
207853,L5366770,n,9,a female client of Verres who made him her heir,
207854,L5001875,a,9,"?̔-δόνιαἰ the Swallow-islands, a group of three or five small, rocky islands off the Lycian coast",2775
207855,L3571252,n,9,an island in the Arabian Gulf,2775
207856,L9431387,n,9,a contemptuous name given by Zeno to Chrysippus,
207857,L5443626,n,9,a Greek poet,2748
207858,L3429782,n,9,or Χείλων,
207860,L1436393,a,9,producing the Chimaera,
207861,L1297933,n,9,"a daughter of Doedation, mother of Autolycus by Mercury, and of the musician Philammon by Apollo, shot by Diana",
207863,L8589904,n,9,title of a book by Democritus,
207864,L1005266,n,9,"one of the Centaurs, distinguished for his knowledge of plants, medicine, and divination, son of Saturn and Philyra, the tutor of Aesculapius, Hercules, Achilles, Jason, etc.",
207865,L4038604,n,9,the goddess of flowers,1666
207866,L1249331,n,9,"a river in Susiana, distinguished for its pure water, from which the Persian kings drank, now Kerrah, Kerkhah, or Kara-su",2775
207867,L1467745,n,9,a people of Lake Moeotis,1696
207868,L1859944,n,9,a mountain in Media,2775
207869,L4527402,n,9,"a river of Parthia, now the Adschi-Su",2775
207870,L3303042,n,9,"a district of Lower Egypt, near Alexandria",2775
207871,L7007863,n,9,"the name of an old miser in the Andria, Heaut., and Phormio of Terence",
207872,L8683707,n,9,a town on the coast of Troas sacred to Apollo,2775
207873,L8678094,n,9,"a river of Sicily, now Dittaino",2775
207874,L9254233,n,9,"a priest of Apollo, from Chryse, in Troas, the father of Astynome, on account of whose close captivity by Agamemnon, Apollo sent a pestilence upon the Grecian hosts",
207875,L6083079,n,9,"one of the most distinguished of the Stoic philosophers, from Soli, in Cilicia, a pupil of Cleanthes and Zeno",1545
207876,L4897283,n,9,a comic person in Terence and Trabea,
207877,L3000374,n,9,"the name of several rivers in Coelesyria, in Lydia, in Bithynia, and in Pontus",2775
207878,L8562563,n,9,"the inhabitants of Cios, a town in Bithynia",2775
207879,L6953890,n,9,"a town in Magna Phrygia, on the borders of Caria, abounding in manufactures, and the seat of a Roman tribunal, now Buruz",2775
207880,L6952468,n,9,a Roman cognomen in the gens Tullia,2792
207881,L4166626,n,9,"a province in the southern part of Asia Minor, between Pamphylia and Syria, now Ejalet Itschil",2775
207882,L1973790,n,9,"a town in Troas, distinguished for the worship of Apollo",2775
207885,L7042120,n,9,a town of Samnium,2775
207887,L6950991,n,9,"a Thracian people in the present Crimea, on both sides of the Dnieper, whose chief town was Cimmerium",2775
207888,L2318033,n,9,"an island of the Cyclades, distinguished for its chalky soil, now Kimolo or Argentiera",2775
207889,L3375441,n,9,a cognomen of the renownea L,2792
207890,L4367219,n,9,"the friend of king Pyrrhus of Epirus, who counselled him to make peace with the Romans, he is said to have had a remarkably retentive memory",
207891,L2607180,n,9,"a small town in Picenum, now Cingulo",2775
207892,L8723282,n,9,"a town of the island of Majorca, now Sinau",2775
207893,L4310220,n,9,a family name of the gentes Cornelia and Helvia,
207894,L7761876,n,9,"a river flowing through a very fruitful region in Libya, between the two Syrtes, now Cinifo or Wady Khahan",2775
207895,L8256303,n,9,"a king in Assyria, afterwards in Cyprus",
207896,L1691115,n,9,"a fabled Roman praetor, upon whose head horns grew suddenly",
207898,L6557311,n,9,"the town of Circeii, near the promontory of the same name, in Latium",2775
207899,L3020957,n,9,"a very ancient town in Phocis, near Delphi, devoted to Apollo",2775
207900,L3417892,n,9,"an important town in Numidia, now Constantine",2775
207901,L9160596,a,9,"lying on this side of the Alps, Cisalpine",
207902,L6628275,n,9,a town of Aeolis,2775
207903,L5663664,n,9,"a seaport town in Cyprus, now Khiti, the birthplace of the Stoic Zeno",2775
207904,L1384061,n,9,a fountain in Phrygia,
207905,L8963904,n,9,"a town of the Bruttii, now Amantea",2775
207906,L3607940,n,9,"a river in Campania, destructive by frequently overflowing the country around, especially the town of Acerroe, now Lagno",2775
207907,L6033700,n,9,"the name given to the town Attuli, in Hispania Baetica",2775
207908,L5318630,n,9,"a small town in Ionia, near Colophon, celebrated for a temple and an oracle of Apollo, now the village Zilleh",2775
207909,L5459776,n,9,"a fortress in Gallia Cisalpina, near Bononia, on the river Guaderna",2775
207910,L7660793,n,9,the city of Claudiopolis in Bithynia,2775
207911,L5341474,n,9,"a river of Illyria, now the Khiri or Drinossi",2775
207912,L3044927,n,9,a Sabine proper name,
207913,L7700284,n,9,"a town on the coast of Ionia, upon a peninsula of the Bay of Smyrna, now Kelisman or Vourla",2775
207914,L2469600,n,9,"a Stoic philosopher of Assos, pupil of Zeno and teacher of Chrysippus",1545
207915,L6489181,n,9,a Spartan captain,
207916,L8245450,n,9,"a small town in Argolis, near Nemea, where Hercules killed the lion, now Clenia",2775
207917,L3160543,n,9,a physician in Rome,
207918,L3399542,n,9,a demagogue of Athens,
207919,L1238664,n,9,the name of a comedy of Diphilus,
207920,L8078297,n,9,the name of two statues by Phidias and by Euphranor,
207921,L4982800,n,9,the father of Alcibiades,
207922,L4344165,n,9,the Muse of history,
207923,L9231043,n,9,a statesman and orator of Athens,
207924,L8462170,n,9,a town of Macedonia,2775
207925,L5087500,n,9,"a companion of Alexander the Great, of whose life he wrote a history",
207926,L2165166,n,9,"the inhabitants of the town Cliternum, in the territory of the Aequi",2775
207927,L2226195,n,9,"an Academic philosopher of Carthage, a disciple and follower of Carneades",1545
207929,L3327850,n,9,"a friend of Alexander the Great, who was killed by him in a fit of drunkenness",
207930,L9939632,n,9,"a Roman maiden, who, when a hostage to Porsenna, with several companions, swam back to Rome",
207931,L2833911,n,9,"son of Arachne, inventor of the spindle",
207932,L5873738,n,9,a king of Alba,
207933,L2628262,n,9,"one of the oldest and most important towns of Etruria, the residence of Porsenna, previously called Camars or Camers, now Chiusi",2775
207934,L9176020,n,9,a comically formed name,
207935,L7696991,n,9,"the wife of the Ethiopian king Merops, and mother of Phaethon by Sol",
207936,L8874240,n,9,a cognomen of Pluto,2792
207937,L2668058,n,9,"the daughter of Tyndarus and Leda, and sister of Helen, Castor, and Pollux",
207938,L2629815,n,9,a family of haruspices at Elis,
207939,L8743351,n,9,"one of the daughters of Oceanus, changed to the plant heliotropium",
207940,L7400970,n,9,"a village in Gallia Narbonensis, between Tolosa and Narbo",
207941,L3568514,n,9,"a mythic king in Sicily, who gave protection to Doedalus when he fled from the persecution of Minos",1566
207974,L3024900,a,9,of or pertaining to Coponius,
207945,L8298120,n,9,"a province in Asia, east of the Black Sea, celebrated on account of the golden fleece and Medea",2775
207946,L7200238,n,9,"an ancient town of the Sabines, in the vicinity of Rome, now Castellaccio",2775
207947,L7979778,n,9,an island near the coast of Africa,2775
207948,L2884776,n,9,a town in Troas,2775
207949,L9783570,a,9,of or pertaining to the Attic demos Colonos,
207950,L8352386,n,9,"one of the twelve Ionian towns in Lydia, situated near the sea, and renowned for its cavalry",2775
207951,L2946064,n,9,"a city of Phrygia on the Lycus, now Khonas",2775
207952,L4401680,n,9,An Epicurean philosopher of Lampsacus,1545
207953,L4517637,n,9,"a town in Cappadocia, on the Sarus, now El Bostan",2775
207954,L4678030,n,9,the mother of the Curetes,
207955,L2704221,n,9,the northern province of Syria,2775
207956,L6479948,n,9,"a fortress in Cilicia, near Mount Amanus",
207957,L5229144,n,9,"a town of the Carpetani in Hispania Tarraconensis, now Alcala de Henarez",2775
207958,L6207757,n,9,"a town of the Hirpini in Samnium, now Conza",2775
207959,L6584536,n,9,a little town in Samnium,2775
207960,L3736257,n,9,"a considerable town in Gallia Transpadana, the birthplace of the younger Pliny, now Como",2775
207961,L9721640,n,9,Plin,
207962,L3941952,n,9,"a river in Spain, tributary to the Iberus",2775
207963,L3774465,n,9,"a Greek lute-player, who taught Socrates music",
207964,L5372969,n,9,"a renowned general of the Athenians, whose life was written by Nepos",2798
207965,L7109588,n,9,"a town of Hispania Tarraconensis, south of Toletum, now Consuegra",2775
207966,L6159395,n,9,"the capital of the Bruttii, now Cosenza",
207967,L3067618,n,9,a fortified town in Bruttium,2775
207969,L1727296,n,9,the name of a Roman emperor who reigned,2798
207971,L7555910,n,9,"a fortified town in Hispania Tarraconensis, in the province of the Carpetani",2775
207972,L6866676,n,9,"an ancient town in Boeotia, now Topolia",2775
207973,L8835790,n,9,"a river, a tributary of the Indus",2775
207975,L6232826,n,9,"a trading town in the Thebaid, on the eastern side of the Nile, afterwards Justinianopolis, now Coft",2775
207976,L4346490,n,9,"an ancient town of Latium, in the territory of the Volsci, now the village Cori",2775
207977,L9727786,n,9,"a people of Lower Moesia, on the Danube, on the coast of the Black Sea",1696
207978,L7295997,n,9,a mountain in Aetolia,2775
207979,L9171766,n,9,"an island in the Ionian Sea, opposite Epirus",2775
207980,L1769455,n,9,"a town in Hispania Baetica, on the river Baetis",2775
207981,L7099962,n,9,"a district of Greater Armenia, now Kurdistan",2775
207982,L8169581,n,9,"a very strongly fortified town of the Peligni, north of Sulmo, now Pelino",2775
207983,L8886431,n,9,"a name of the fourth Minerva, among the Arcadians",
207984,L5387056,n,9,"a celebrated Greek poetess of Tanagra, contemporary with Pindar",2748
207985,L7146950,n,9,"a town in Latium, destroyed by Caius Marcius",2775
207986,L4790702,n,9,a town in Pisidia,2775
207987,L3054100,n,9,a cognomen of several persons in the gens Oppia,2792
207988,L3526050,n,9,an ancient town in Latium,2775
207989,L9154690,n,9,a city on the western coast of Sardinia,2775
207990,L8929820,n,9,name of the two daughters of the Theban Orion,
207991,L6329352,n,9,a city on the west coast of the Messenian bay,2775
207992,L4642783,n,9,"a town in Boeotia, west of Lake Copais",2775
207993,L2065426,n,9,"a king in Phocis, father of Corone, who was changed to a crow",
207994,L9930919,n,9,"daughter of the Thessalian Phlegyas, mother of Aesculapius by Apollo",
207995,L4597758,n,9,a fortress in Macedonia,
207996,L4621914,n,9,"a very ancient town in Etruria, northwest of Lake Trasimenus",2775
207997,L5785091,n,9,a town of Etruria,2775
207998,L9815045,n,9,Plur.,
207999,L4888936,n,9,Corycian,
208001,L7049504,n,9,a city of Aeolis,2775
208002,L5486486,a,9,"m., bearing clusters of ivy-berries, an epithet of Bacchus",
208003,L8309240,n,9,a title of Minerva,
208004,L9925705,n,9,"daughter of Oceanus, mother of the fourth Minerva",
208005,L8281784,n,9,"An ancient town in Etruria, so named from its mythical founder, later called Cortona",2775
208007,L7743430,n,9,"a high council of the Cretans, answering to the Lacedaemonian Ephori",
208008,L1796017,n,9,"a celebrated maker of, and dealer in unguents at Rome",
208009,L7231810,n,9,a cognomen of the gens Cornelia,2792
208010,L4099110,n,9,"a small island between Sicily and Africa, now Pantellaria",2775
208011,L7998054,n,9,a king of the Getae,
208012,L4824295,n,9,"the name of two kings of northern Italy, the father, who was a contemporary and friend of Augustus",
208013,L7482132,n,9,"a town of Aeolis, in Asia Minor",2775
208014,L1995688,n,9,the name of several Thracian princes,
208015,L3438153,n,9,"the goddess of lewdness, who was originally worshipped in Thrace, later in Athens also",1666
208016,L6551962,n,9,"the inhabitants of a town on the island of Cephallenia, now Granea",2775
208017,L9191373,n,9,"a town of Thessaly, in the Vale of Tempe",2775
208019,L8639688,n,9,a grammarian of Rome,
208020,L8455360,n,9,a family name in the gens Licinia,
208021,L5204130,n,9,the mother of Scylla,
208022,L6591094,n,9,a general of Alexander the Great,2798
208023,L4023960,n,9,"a river in Magna Graecia, whose water was said to redden the hair, now Crati or Gratti",2775
208024,L8767326,n,9,"a distinguished peripatetic philosopher at Athens, a teacher of Cicero's son",1545
208025,L1609488,n,9,"a small river in Etruria, near Veii, made famous by the heroic death of the Fabii, now La Varca or Valca",2775
208026,L2391366,n,9,"the town Cremona in Gallia Cisalpina, on the Po",2775
208027,L2522570,n,9,a centaur,
208028,L6650142,n,9,"a king of Corinth, who betrothed his daughter Creusa to Jason",
208030,L1242010,n,9,"an ancient town of Phocis, on the sea, now Crisso",2775
208031,L5841193,n,9,one of the thirty tyrants at Athens,
208032,L2941275,n,9,"a rich citizen of Athens, a disciple and friend of Socrates",
208033,L2959168,n,9,a promontory at the southern extremity of the Tauric Chersonesus,
208034,L1975937,n,9,a companion of Diana,
208035,L7710791,n,9,"a place in Gallia Narbonensis, now Gourdan",2775
208036,L7914123,n,9,"a king of Lydia, celebrated for his riches",
208037,L9985720,n,9,"a village in Megaris, afterwards belonging to Corinth, laid waste by a wild sow, which was slain at last by Theseus",
208038,L3861966,n,9,"the god of time, Saturnus",1666
208039,L8141135,n,9,Just,
208040,L2172731,n,9,a Crotopiade,
208041,L5243946,n,9,"a constellation, the Archer",
208042,L5182695,a,9,of Crustumeria,
208043,L1504228,n,9,"a famous physician of Cnidus in Caria, author of a history of the East",
208044,L1334615,n,9,"a town in Assyria, residence of the Parthian kings",2775
208045,L4769151,n,9,a town in Gallograecia,2775
208046,L9930039,n,9,"a town in Gallia Narbonensis, afterwards Gratianopolis, now Grenoble",2775
208048,L5368296,n,9,the name of two cities in Picenum,
