,00229978,a,10,"changed for the worse in health or fitness: ""I feel worse today""; ""her cold is worse""",
184690,00548403,a,10,"not drawing attention: ""an unnoticeable cigarette burn on the carpet""; ""an obscure flaw""","1946,2097"
184632,00538149,a,10,"not unconscious; especially having become conscious: ""the patient is now awake and alert""",
184668,00544268,a,10,"(followed by ""to"") in conformance to or agreement with; ""pursuant to our agreement""; ""pursuant to the dictates of one's conscience""",
184665,00543444,a,10,of or relating to a welfare state,1502
184669,00544457,a,10,made compatible or consistent,
184670,00544543,a,10,not self-contradictory,
184671,00544627,a,10,conforming to the same principles or course of action over time,
184674,00545259,a,10,not compatible with other facts,
184675,00545362,a,10,inconsistent in quality,
184683,00546919,a,10,compulsively attracting attention to yourself especially by boasting or exaggerated behavior,"1946,2097"
184636,00538832,a,10,"not conscious; lacking awareness and the capacity for sensory perception as if asleep or dead: ""lay unconscious on the floor""",
184710,00552772,a,10,concerned with systematic structure in a particular field of study,
184723,00555190,a,10,having been taken into the mouth for consumption,
184724,00555344,a,10,eaten or drunk up,
184726,00555584,a,10,taken into the stomach,
184738,00557654,a,10,discontented as toward authority,
184739,00557785,a,10,in a state of sulky dissatisfaction,
184740,00557893,a,10,worried and uneasy,
184741,00557994,a,10,capable of being contested,
184742,00558150,a,10,capable of being challenged,
184743,00558237,a,10,capable of being disproved,
184745,00558480,a,10,incapable of being contested or disputed,
184747,00558837,a,10,having been demonstrated or verified beyond doubt,
184748,00558945,a,10,against which no argument can be made,
184751,00559327,a,10,having control over urination and defecation,
184752,00559427,a,10,not having control over urination and defecation,
184695,00549474,a,10,"capable of being discriminated: ""discriminable faults""",
184697,00549951,a,10,"steadfast in purpose or devotion or affection: ""a man constant in adherence to his ideals""; ""a constant lover""; ""constant as the northern star""",2234
184722,00555066,a,10,"laying waste: ""when wasteful war shall statues overturn""-Shakespeare",
184700,00550840,a,10,"unceasing: ""unfailing loyalty""; ""unfailing good spirits""; ""unflagging courtesy""",2234
184728,00555821,a,10,"uneaten and saved for eating later: ""leftover food served at a later meal""; ""yesterday's reheated soup""",
184702,00551365,a,10,"(used especially of persons) not dependable in devotion or affection; unfaithful; ""a false friend; ""when lovers prove untrue""",2234
184704,00551727,a,10,"constructing or tending to construct or improve or promote development: ""constructive criticism""; ""a constructive attitude""; ""a constructive philosophy""; ""constructive permission""",
184705,00552091,a,10,"promoting construction or creation: ""creative work""",
184709,00552604,a,10,"helping to restore to good condition: ""reconstructive surgery""; ""rehabilitative exercises""",
184707,00552354,a,10,"(biology) capable of forming new cells and tissues; ""a formative zone in developing bone""",2158
184708,00552499,a,10,based on interpretation; not directly expressed,
184712,00553293,a,10,"wreaking or capable of wreaking complete destruction: ""possessing annihilative power""; ""a devastating hurricane""; ""the guns opened a withering fire""",
184714,00553851,a,10,"severely destructive: ""cataclysmic nuclear war""; ""a cataclysmic earthquake""",
184718,00554548,a,10,"wearing away by friction: ""the erosive effects of waves on the shoreline""",
184715,00553998,a,10,"of a substance, especially a strong acid; capable of destroying or eating away by chemical action",
184719,00554675,a,10,"making undecipherable or imperceptible: ""obliterating mists; ""an obscurant bank of clouds""",
184721,00554946,a,10,"destructive to the spirit or soul: ""soul-destroying labor""",
184727,00555661,a,10,"not eaten or used up: ""gave the dog the uneaten remnants of the roast""",
184694,00549348,a,10,"capable of being perceived as different: ""differentiable species""",
184729,00556018,a,10,"not eaten or drunk up: ""the cat found the baby's undrunk milk""",
184731,00556438,a,10,"in a state of tranquil contentment: ""at peace with herself and her friends""",
184732,00556568,a,10,"contented to a fault: ""he had become complacent after years of success""; ""his self-satisfied dignity""",
184734,00556930,a,10,"taking life easy: ""an easygoing man rarely stirred to anger""; ""an air of placid sufficiency""",
184744,00558339,a,10,"capable of being weakened: ""the crisis proved his confidence was shakable""",
184746,00558704,a,10,"necessarily or demonstrably true: ""demonstrable truths""",
184736,00557191,a,10,"marked by excessive complacency or self-satisfaction; ""a smug glow of self-congratulation""",
184749,00559052,a,10,"without flaws or loopholes: ""an ironclad contract""; ""a watertight alibi""",
184750,00559220,a,10,"impossible to answer: ""an unanswerable argument""",
184755,00559995,a,10,"continually recurring or continuing without interruption: ""constant repetition of the exercise""; ""constant chatter of monkeys""",
184703,00551551,a,10,"marked by erratic changeableness in affections or attachments: ""fickle friends""; ""a flirt's volatile affections""",2234
184753,00559551,a,10,used informally; unable to retain urine,
184717,00554376,a,10,"designed or tending to discredit, especially without positive or helpful suggestions: ""negative criticism""",
184756,00560176,a,10,"(informal) continuing too long; ""everlasting complaints""",
184766,00561747,a,10,not occurring at expected times,
184790,00566700,a,10,obeying the rules,
184791,00566794,a,10,controlled or ruled by superior authority or power,
184795,00567483,a,10,having the price regulated or controlled by government,
184796,00567600,a,10,ruled by or oppressed by a priest,
184797,00567693,a,10,strictly controlled,
184811,00570063,a,10,open to argument or debate,
184813,00570332,a,10,open to debate,
184814,00570408,a,10,of or involving dispute or controversy,
184815,00570512,a,10,not likely to arouse controversy,
184821,00571684,a,10,not given to or characterized by argument,
184763,00561332,a,10,"occurring in spells and often abruptly: ""fitful bursts of energy""; ""spasmodic rifle fire""",
184761,00560909,a,10,"never-ceasing; ""the relentless beat of the drums""",
184764,00561486,a,10,"stopping and starting at irregular intervals: ""intermittent rain showers""",
184765,00561618,a,10,"recurring or reappearing from time to time: ""periodic feelings of anxiety""",
184769,00562701,a,10,"at all times: ""around-the-clock nursing care""",1463
184772,00563525,a,10,"relentless and indefatigable in pursuit or as if in pursuit: ""impossible to escape the dogging fears""",1463
184771,00563345,a,10,"""continual"" (meaning seemingly uninterrupted) is often used interchangeably with ""continuous"" (meaning without interruption)",1463
184773,00563693,a,10,"having the ends united so as to form a continuous whole: ""an endless chain""",1463
184776,00564091,a,10,"maintained at length without interruption or weakening: ""sustained flight""",1463
184774,00563822,a,10,"(of an electric arc); ""heat transfer to the anode in free burning arcs",1463
184775,00563963,a,10,"successive (without a break); ""sick for five straight days""",1463
184777,00564221,a,10,"not continuing without interruption in time or space: ""discontinuous applause""; ""the landscape was a discontinuous mosaic of fields and forest areas""; ""he received a somewhat haphazard and discontinuous schooling""",1463
184778,00564582,a,10,"maked by breaks or gaps: ""many routes are unsafe or disrupted""",1463
184783,00565357,a,10,"remaining in force or being carried on without letup: ""the act provided a continuing annual appropriation""; ""the continuing struggle to put food on the table""",
184780,00564857,a,10,(mathematics) of a function or curve; extending without break or irregularity,2873
184781,00564991,a,10,(mathematics) of a function or curve; possessing one or more discontinuities,2873
184785,00565782,a,10,"discontinued temporarily: ""we resumed the interrupted discussion""",
184788,00566467,a,10,"gotten under control: ""the oil spill is contained""",
184786,00565905,a,10,"(of books) no longer offered for sale by a publisher; ""that edition is out of print""",1422
184789,00566573,a,10,"being acted upon: ""kept the situation well in hand""",
184792,00566939,a,10,"brought under control and put to use: ""electricity from the harnessed Colorado River""; ""the harnessed power of the atom""",
184793,00567115,a,10,"influenced or controlled by a powerful force such as a strong emotion: ""by love possessed""",
184801,00568440,a,10,"impossible to repress or control: ""an irrepressible chatterbox""; ""uncontrollable laughter""",
184798,00567769,a,10,"(used in combination) dominated or obsessed by; ""grief-ridden""; ""war-ridden""",
184816,00570661,a,10,"generally agreed upon; not subject to dispute: ""the accepted interpretation of the poem""; ""an accepted theory""",
184804,00568895,a,10,"unrestrained and violent: ""rampant aggression""",
184802,00568607,a,10,"(of a ball in sport) not in the possession or control of any player; ""a loose ball""",2638
184805,00568995,a,10,"completely out of control: ""runaway inflation""",
184807,00569326,a,10,"lacking in discipline or control: ""undisciplined behavior""; ""ungoverned youth""",
184809,00569623,a,10,"deviating widely from an intended course: ""a wild bullet""; ""a wild pitch""",
184760,00560754,a,10,"recurring again and again: ""perennial efforts to stipulate the requirements""",
184818,00570994,a,10,"given to or characterized by argument: ""an argumentative discourse""; ""argumentative to the point of being cantankerous""; ""an intelligent but argumentative child""",
184819,00571251,a,10,"given to quarreling: ""arguing children""; ""quarrelsome when drinking""",
184823,00571902,a,10,"suited to your comfort or purpose or needs: ""a convenient excuse for not going""",2234
184824,00572128,a,10,"easy to use: ""a handy gadget""",2234
184822,00571805,a,10,of persons; not given to controversy,
184808,00569477,a,10,"not subjected to control or restraint: ""a piano played with a wild exuberance""-Louis Bromfield",
184799,00567902,a,10,"not being under control; out of control: ""the greatest uncontrolled health problem is AIDS""; ""uncontrolled growth""",
184831,00573467,a,10,characterized by or in accordance with some formula,2234
184839,00574940,a,10,(slang) rigidly conventional or old-fashioned,
184849,00577053,a,10,using atomic weapons based on fusion as distinguished from fission,1781
184855,00578164,a,10,adhering to tradition especially in cultural or religious practices,
184857,00578470,a,10,tending to come together from different directions,
184858,00578649,a,10,flowing together,
184859,00578734,a,10,meeting or joining,
184861,00578960,a,10,tending to move apart in different directions,
184862,00579127,a,10,resembling the branches of a tree,
184863,00579216,a,10,diverging from a common point,
184867,00579912,a,10,having branches,
184868,00579994,a,10,resembling a bush in being thickly branched and spreading,
184870,00580249,a,10,having no branches,
184874,00580832,a,10,freeing from illusion or false belief,
184877,00581219,a,10,not capable of persuading,
184830,00573324,a,10,"in accordance with convention or custom: ""sealed the deal with the customary handshake""",2234
184833,00573793,a,10,"not conforming to accepted rules or standards: ""her unconventional dress and hair style""",2234
184834,00574032,a,10,"unconventional in especially appearance and behavior: ""a bohemian life style""",2234
184836,00574357,a,10,"independent in behavior or thought: ""she led a somewhat irregular private life""; ""maverick politicians""",2234
184837,00574540,a,10,"unimaginative and conformist: ""conventional bourgeois lives""; ""conventional attitudes""",
184844,00575998,a,10,"marked by a carefree unconventionality or disreputableness: ""a cocktail party given by some...raffish bachelors""-Crary Moore",2234
184841,00575281,a,10,"not conventional or conformist: ""unconventional life styles""",2234
184842,00575492,a,10,"pertaining to unconventional choices: ""an alternative life style""",2234
184851,00577362,a,10,"consisting of or derived from tradition: ""traditional history""; ""traditional morality""",
184827,00572621,a,10,"causing inconvenience: ""they arrived at an awkward time""",2234
184845,00576203,a,10,informal terms; strikingly unconventional,2234
184853,00577806,a,10,"having been passed along from generation to generation: ""among Biblical critics a tralatitious interpretation is one received by expositor from expositor""",
184850,00577179,a,10,"(of power and warfare and weaponry) not nuclear; ""conventional power plants""; ""conventional warfare""; ""conventional weapons""",1781
184854,00578034,a,10,"of long standing and acceptance: ""time-honored customs""",
184856,00578294,a,10,"not conforming to or in accord with tradition: ""nontraditional designs""; ""nontraditional practices""",
184865,00579492,a,10,"resembling a tree in form and branching structure: ""arborescent coral found off the coast of Bermuda""; ""dendriform sponges""",
184871,00580342,a,10,"without branches: ""a tree with an unbranched trunk""",
184860,00578812,a,10,"(of light rays) converging on a point; ""focused light rays can set something afire""",
184872,00580464,a,10,"causing one to believe the truth of something: ""a convincing story""; ""a convincing manner""",
184869,00580118,a,10,"(of trees) having a bushy top without a leader; ""mop-headed cabbage palms""",2172
184875,00580946,a,10,"capable of convincing: ""a persuasive argument""",
184876,00581049,a,10,"not convincing: ""unconvincing excuses""; ""as unconvincing as a forced smile""",
184829,00573090,a,10,"widely accepted as true or worthy: ""the accepted wisdom about old age""; ""a received moral idea""; ""Received political wisdom says not; surveys show otherwise""-Economist",2234
184879,00581792,a,10,"(of bread and pastries) cooked by dry heat (as in an oven); ""baked goods""",1957
184878,00581303,a,10,having been prepared for eating by the application of heat,1957
184880,00581917,a,10,cooked over an outdoor grill,1957
184881,00582011,a,10,cooked in hot water,1957
184882,00582102,a,10,cooked by browning in fat and then simmering in a closed container,1957
184883,00582222,a,10,cooked by radiant heat (as over a grill),1957
184885,00582460,a,10,cooked until ready to serve,1957
184886,00582538,a,10,cooked by frying in fat,1957
184887,00582626,a,10,baked until hard,1957
184888,00582699,a,10,(used of eggs) cooked until the yolk is solid,1957
184889,00582802,a,10,cooked with onions,1957
184890,00582876,a,10,(of meat) cooked until there is just a little pink meat inside,1957
184838,00574739,a,10,"unimaginatively conventional: ""a colorful character in the buttoned-down, dull-gray world of business""-Newsweek",
184891,00582991,a,10,cooked too long but still edible,1957
184893,00583207,a,10,(of meat) to cook by dry heat in an oven,1957
184894,00583309,a,10,fried quickly in a little fat,1957
184899,00583893,a,10,(of meat) cooked until there is no pink meat left inside,1957
184900,00584005,a,10,not treated with heat to prepare it for eating,1957
184901,00584173,a,10,insufficiently cooked,1957
184903,00584380,a,10,not cooked,1957
184904,00584445,a,10,not having been brown by exposure to heat,1957
184913,00586046,a,10,ruined in character or quality,2234
184924,00587968,a,10,not decayed or decomposed,2234
184925,00588063,a,10,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more),
184927,00588413,a,10,(architecture) most ornate of the three orders of classical Greek architecture,2446
184928,00588584,a,10,a modified Corinthian style of architecture (a combination of Corinthian and Ionic),2446
184929,00588723,a,10,(architecture) oldest and simplest of the three orders of classical Greek architecture,2446
184930,00588897,a,10,a classical order similar to Roman Doric,2446
184931,00588990,a,10,(architecture) an order of classical Greek architecture,2446
184939,00590674,a,10,not large enough to consider or notice,
184951,00593199,a,10,having no body,
184898,00583774,a,10,"browned over by exposure to heat: ""he liked toasted marshmallows""",1957
184905,00584542,a,10,"done with or working with others for a common purpose or benefit: ""a cooperative effort""",
184908,00585147,a,10,"unwilling to cooperate: ""an uncooperative witness""",
184941,00591091,a,10,"lacking material form or substance; unreal: ""as insubstantial as a dream""; ""an insubstantial mirage on the horizon""",2234
184909,00585311,a,10,"resistant to authority or control: ""as refractory as a mule""",
184914,00586153,a,10,"capable of being corrupted: ""corruptible judges""; ""dishonest politicians""; ""a purchasable senator""; ""a venal police officer""",2234
184926,00588254,a,10,used especially of drugs or muscles that counteract or neutralize each other's effect,
184916,00586663,a,10,"unethical or dishonest: ""dirty police officers""; ""a sordid political campaign""",2234
184918,00587097,a,10,"morally corrupt or evil: ""the putrid atmosphere of the court""",2234
184919,00587211,a,10,"having taken a bribe or bribes: ""a sold-out politician""",2234
184920,00587324,a,10,"free of corruption or immorality: ""a policeman who was incorrupt and incorruptible""",2234
184921,00587553,a,10,"clean and honest: ""antiseptic financial practices""",2234
184923,00587812,a,10,"not debased: ""though his associates were dishonest, he remained uncorrupted""; ""uncorrupted values""",2234
184933,00589505,a,10,"enough to be estimated or measured: ""appreciable amounts of noxious wastes are dumped into the harbor""",
184936,00590206,a,10,"(regional; S and Midland) ""it's a right smart distance""",
184935,00589915,a,10,"large in amount or extent or degree: ""it cost a considerable amount""; ""a goodly amount""; ""received a hefty bonus""; ""a respectable sum""; ""a tidy sum of money""; ""a sizable fortune""",
184943,00591692,a,10,"lacking in substance: ""strange fancies of unreal and shadowy worlds""-W.A.Butler; ""dim shadowy forms""; ""a wraithlike column of smoke""",2234
184937,00590319,a,10,"fairly large: ""won by a substantial margin""",
184944,00591892,a,10,"derived from or composed of matter: ""the material universe""",2234
184945,00592078,a,10,"having substance or material existence; perceptible to the senses: ""a physical manifestation""; ""surrounded by tangible objects""",2234
184897,00583688,a,10,"cooked in steam: ""steamed clams""",1957
184947,00592471,a,10,"not consisting of matter: ""immaterial apparitions""; ""ghosts and other immaterial entities""",2234
184948,00592686,a,10,"lacking substance or reality; incapable of being touched or seen: ""that intangible thing--the soul""",2234
184950,00593046,a,10,"invested with a bodily form especially of a human body: ""a monarch...regarded as a god incarnate""",
184952,00593322,a,10,"having no trunk or main part: ""a bodiless head""",
184907,00584939,a,10,"working together; used especially of groups, as subsidiaries of a corporation, cooperating for an enhanced effect: ""a synergistic effect""",
184953,00593435,a,10,"having no physical form: ""belief in a world filled with...formless but often malevolent beings",
184955,00593860,a,10,"not successfully subjected to brainwashing: ""despite the torture and the psychological pressure some POWs remained unbrainwashed""",
200859,00222383,r,10,"on a small scale: ""think small""",
184911,00585544,a,10,"lacking in integrity: ""humanity they knew to be corrupt...from the day of Adam's creation""; ""a corrupt and incompetent city government""",2234
184896,00583568,a,10,"used of eggs; having the yolk still liquid: ""soft-boiled eggs""",1957
184959,00594725,a,10,having a new body,2234
184978,00598204,a,10,having been put right,
184983,00598835,a,10,susceptible of improvement,
184985,00599047,a,10,impervious to correction by punishment,
184994,00601112,a,10,strong and healthy but not sophisticated,
184998,00601690,a,10,retarding evacuation of feces,
184999,00601791,a,10,causing constipation,
185000,00601880,a,10,stimulating evacuation of feces,
185001,00602002,a,10,mildly laxative,
185002,00602072,a,10,strongly laxative,
185003,00602168,a,10,have difficult or incomplete or infrequent evacuation of the bowels,
185005,00602416,a,10,not constipated,
185006,00602537,a,10,of or relating to diarrhea,
185014,00604016,a,10,having the qualities of gallantry attributed to an ideal knight,1502
185018,00604733,a,10,offensively discourteous,1502
185020,00604960,a,10,"showing regard for others in manners, speech, behavior, etc.",1502
185021,00605127,a,10,socially correct in behavior,
184968,00596698,a,10,"containing or characterized by error: ""erroneous conclusions""; ""the answer was inaccurate""",2234
184965,00595894,a,10,"correct to the last detail; especially being in or following the exact words: ""a letter-perfect rendition of the soliloquy ""she was word-perfect in her part""",2234
185015,00604157,a,10,"showing no courtesy; rude: ""a distant and at times discourteous young""",1502
184969,00596857,a,10,"based on an incorrect or misleading notion or information: ""fallacious hope""",2234
184970,00596990,a,10,"arising from error: ""a false assumption""; ""a mistaken view of the situation""",2234
184971,00597129,a,10,"correct in opinion or judgment: ""time proved him right""",
184973,00597461,a,10,"based on or acting or judging in error: ""it is wrong to think that way""",
184974,00597602,a,10,"obstinately perverse in judgment or opinion: ""a wrongheaded policy""",
184975,00597727,a,10,"having something undesirable neutralized: ""with glasses her corrected vision was 20:20""",
184979,00598281,a,10,"left faulty or wrong: ""uncorrected astigmatism""",
184976,00597924,a,10,"(optics) free from or corrected for spherical aberration; ""an aplanatic mirror""",2102
184980,00598404,a,10,"not having been put right: ""unremedied errors""",
184981,00598507,a,10,"capable of being corrected or set right: ""a corrigible defect""; ""a corrigible prisoner""",
184982,00598705,a,10,"capable of being corrected by additions: ""an amendable flaw""",
184984,00598918,a,10,"susceptible to improvement or reform: ""a redeemable sinner""",
184986,00599216,a,10,"persistently bad: ""school for delinquent boys""",
184988,00599446,a,10,"not susceptible of improvement: ""uncontrollable children""; ""an uncorrectable habit""",
184991,00600385,a,10,"familiar with many parts of the world: ""a traveled, educated man""; ""well-traveled people""",
184993,00600867,a,10,"awkwardly simple and provincial: ""bumpkinly country boys""; ""rustic farmers""; ""a hick town""; ""the nightlife of Montmartre awed the unsophisticated tourists""",
184996,00601394,a,10,"small and remote and insignificant: ""a jerkwater college""; ""passed a series of poky little one-horse towns""",
184997,00601584,a,10,"not given to travel: ""a stay-at-home friend""",
185004,00602311,a,10,"confined in the bowels: ""he is bound in the belly""",
185007,00602632,a,10,"emptying easily or excessively: ""loose bowels""",
185009,00602967,a,10,"showing consideration and anticipation of needs: ""it was thoughtful of you to bring flowers""; ""a neighbor showed thoughtful attention""",
185011,00603403,a,10,"showing an unthinking lack of consideration: ""a careless remark""",
185012,00603522,a,10,"without care or thought for others: ""the thoughtless saying of a great princess on being informed that the people had no bread; ""Let them eat cake""""",
185016,00604394,a,10,"surprisingly and unceremoniously brusque in manner: ""an abrupt reply""",1502
185019,00604838,a,10,"without due formalities: ""unceremonious dismissal from office""",1502
185022,00605226,a,10,"exhibiting courtesy and politeness: ""a nice gesture""",
185023,00605352,a,10,not polite,1502
184963,00595353,a,10,"free from error; especially conforming to fact or truth: ""the correct answer""; ""the correct version""; ""the right answer""; ""took the right road""; ""the right decision""",2234
184960,00594800,a,10,"without material form or substance: ""an incorporeal spirit""",2234
185024,00605525,a,10,(used of an ill-mannered child) impolitely unruly,
184961,00595002,a,10,"not having a material body: ""bodiless ghosts""",2234
185026,00605813,a,10,lacking social graces,
185027,00605906,a,10,so rude and abusive as to be unsuitable for Parliament,
185036,00607720,a,10,exuberantly creative,2425
185043,00609131,a,10,bewildering or striking dumb with wonder,2234
185046,00609515,a,10,not imagined even in a dream,2234
185049,00610081,a,10,too credulous for your own good,
185050,00610172,a,10,not inclined to ask questions,
185051,00610261,a,10,not disposed or willing to believe,
185053,00610630,a,10,incredulous by virtue of distrust,
185072,00614627,a,10,not in a state of crisis or emergency,1753
185073,00614771,a,10,without a crisis (as of some diseases),1753
185075,00615249,a,10,(especially of fissionable material) able to sustain a chain reaction in such a manner that the rate of reaction increases,"2097,2111"
185078,00615768,a,10,crossed or intersected in the form of an X,
185080,00616001,a,10,(of a check) for deposit only as indicated by having two lines drawn across it,1766
185081,00616133,a,10,(of a check) not crosses,1766
185082,00616213,a,10,having convergent strabismus,2232
185031,00606687,a,10,"(of divisions of time) determined by daily motion of the stars; ""sidereal time""",1463
185033,00607079,a,10,"indulging in or influenced by fancy: ""a fanciful mind""; ""all the notional vagaries of childhood""",2425
185034,00607241,a,10,"capable of imaginative creation: ""fictive talent""",2425
185037,00607793,a,10,"not creative: ""an uncreative imagination""",2425
185039,00608243,a,10,"capable of being believed: ""completely credible testimony""; ""credible information""",2234
185038,00607963,a,10,"deficient in originality or creativity; lacking powers of invention:i ""a sterile ideology lacking in originality""; ""unimaginative development of a musical theme""; ""uninspired writing""",2425
185041,00608628,a,10,"affording reasonable grounds for belief or acceptance: ""presumptive evidence""; ""a strong presumptive case is made out""",2234
185044,00609257,a,10,"barely credible: ""the fabulous endurance of a marathon runner""",2234
185045,00609374,a,10,"too improbable to admit of belief: ""a tall story""",2234
185047,00609652,a,10,"disposed to believe on little evidence: ""the gimmick would convince none but the most credulous""",
185052,00610425,a,10,"denying or questioning the tenets of especially a religion: ""a skeptical approach to the nature of miracles""",
185054,00610721,a,10,"marked by a tendency to find and call attention to errors and flaws: ""a critical attitude""",
185057,00611535,a,10,"harshly critical or expressing censure: ""was censorious of petty failings""",
185058,00611666,a,10,"inclined to judge too severely: ""hypercritical of colloquial speech""; ""the overcritical teacher can discourage originality""",
185059,00611864,a,10,"marked by harshly abusive criticism: ""his scathing remarks about silly lady novelists""; ""her vituperative railing""",
185062,00612388,a,10,"tending to make moral judgments or judgments based on personal opinions: ""a counselor tries not to be faultfinding""",
185029,00606314,a,10,"lacking civility or good manners: ""want nothing from you but to get away from your uncivil tongue""-Willa Cather",1502
185083,00616316,a,10,(British informal) cross-eyed,2232
185065,00613015,a,10,"exercising or involving careful evaluations: ""looked him over with an appraising eye""; ""the literary judge uses many evaluative terms""",
185067,00613420,a,10,"marked by disregard for critical standards or procedures: ""news sources reflected uncritical estimates of the number of juvenile addicts""",
185069,00613933,a,10,"of critical importance and consequence: ""an acute (or critical) lack of research funds""",1753
185077,00615576,a,10,"placed crosswise: ""spoken with a straight face but crossed fingers""; ""crossed forks""; ""seated with arms across""",
185032,00606821,a,10,"having the ability or power to create: ""a creative imagination""",2425
185076,00615431,a,10,(chemistry and physics) not critical; not at a point of abrupt change,"2097,2111"
185079,00615896,a,10,"not crossed: ""sitting primly with uncrossed legs""",
185085,00616483,a,10,"moving across open country rather than following tracks or roads: ""a cross-country race""",
185087,00616876,a,10,"taking place over public roads: ""road racing""",
185064,00612746,a,10,"characterized by careful evaluation and judgment: ""a critical reading""; ""a critical dissertation""; ""a critical analysis of Melville's writings",
185088,00616993,a,10,"(of vehicles) fit to be driven on the open road; ""a roadworthy truck""",
185071,00614381,a,10,"fraught with extreme danger; nearly hopeless: ""a desperate illness""; ""on all fronts the Allies were in a desperate situation due to lack of materiel""-G.C.Marshall; ""a dire emergency""",1753
185084,00616401,a,10,having divergent strabismus,2232
185060,00612048,a,10,"not critical; not tending to find or call attention to errors: ""a devoted and almost uncritical admirer""",
185091,00617568,a,10,provided with a chaplet,
185106,00620033,a,10,having three dimensions,2066
185107,00620254,a,10,resembling a block in shape,2066
185108,00620345,a,10,resembling a box in rectangularity,2066
185109,00620440,a,10,shaped like a cube,2066
185110,00620568,a,10,(crystallography) of a crystal system characterized by three equal axes at right angles,2066
185113,00621051,a,10,lying on the same line,2066
185114,00621129,a,10,arranged in a line,2066
185115,00621200,a,10,resembling a line,2066
185117,00621462,a,10,involving two dimensions,2066
185118,00621665,a,10,lying in the same plane,2066
185119,00621743,a,10,having no depth or thickness,2066
185120,00621822,a,10,as the hard flattened scales of e.g. sharks,2066
185121,00621931,a,10,having been flattened,2066
185128,00623461,a,10,involving or relating to the fourth dimension or time,
185132,00624290,a,10,cut into pieces,
185095,00618137,a,10,"having the power but not the rank or title of a king: ""one of the quasi-royal rulers of Africa""",
185094,00617983,a,10,"not (especially not yet) provided with a crown; ""the uncrowned king""",
185099,00618802,a,10,"used especially of front teeth: ""natural uncapped teeth""",2265
185096,00618290,a,10,"(dentistry) having an artificial crown on a tooth; ""had many crowned teeth""",2265
185098,00618588,a,10,"(dentistry) not having an artificial crown on a tooth; used especially of molars and bicuspids; ""uncrowned teeth badly in need of attention""",2265
185101,00619212,a,10,"forming or having the nature of a turning point or crisis: ""a critical point in the campaign""; ""the critical test""",
185105,00619916,a,10,"not finally or definitely formed: ""uncrystallized ideas""",
185103,00619638,a,10,of little importance; not decisive,
185090,00617404,a,10,"covered as if with a cap or crown especially of a specified kind: ""cloud-capped mountains""; ""snow-capped peaks""",
185111,00620711,a,10,"having three dimensions: ""a solid object""",2066
185116,00621272,a,10,"characterized by a straight line or lines: ""rectilinear patterns in wallpaper""; ""the rectilinear propagation of light""",2066
185124,00622402,a,10,"having or involving or marked by several dimensions or aspects: ""multidimensional problems""; ""a multidimensional proposition""; ""a multidimensional personality""",
185122,00622018,a,10,flat; like a table in form,2066
185129,00623577,a,10,"separated into parts or laid open or penetrated with a sharp edge or instrument: ""the cut surface was mottled""; ""cut tobacco""; ""blood from his cut forehead""; ""bandages on her cut wrists""",
185131,00624136,a,10,"cut or used for cutting crosswise or across the grain: ""a crosscut slice of beef""; ""a crosscut saw""",
185133,00624358,a,10,cut into with a sharp instrument,
185134,00624444,a,10,"having a number or series of holes: ""a perforated steel plate""; ""perforated cancellation""; ""perforated stamp""",
185136,00624789,a,10,"detached by cutting: ""cut flowers""; ""a severed head""; ""an old tale of Anne Bolyn walking the castle walls with her poor cut-off head under her arm""",
185140,00625344,a,10,"not pierced: ""unpierced ears""",
185139,00625253,a,10,not perforated; having no opening,
185143,00625738,a,10,"fashioned or shaped by cutting: ""a well-cut suit""; ""cut diamonds""; ""cut velvet""",
185141,00625429,a,10,"(of pages of a book) having the folds of the leaves trimmed or slit; ""the cut pages of the book""",1422
185144,00625957,a,10,"having been cut out: ""the cut-out pieces of the dress""",
185147,00626470,a,10,"having long and narrow ornamental cuts showing an underlying fabric: ""a slashed doublet""; ""slashed cuffs showing the scarlet lining""",
185146,00626296,a,10,"(used especially of fur or wool) shaped or finished by cutting or trimming to a uniform length; ""a coat of sheared lamb""",2875
185148,00626656,a,10,"having a narrow opening: ""a slit skirt revealed shapely legs""; ""a knife with a slitted blade""",
185149,00626810,a,10,"not shaped by cutting or trimming: ""an uncut diamond""; ""rough gemstones""",
185152,00627486,a,10,"showing curiosity: ""if someone saw a man climbing a light post they might get inquisitive""; ""raised a speculative eyebrow""",
185150,00626960,a,10,"(used especially of fur or wool) not having been sheared; ""unsheared beaver""",2875
185104,00619729,a,10,"having become fixed and definite in form: ""distinguish between crystallized and uncrystallized opinion""-Psychological Abstracts",
185126,00622916,a,10,"lacking the expected range or depth; not designed to give an illusion or depth: ""a film with two-dimensional characters""; ""a flat two-dimensional painting""",
185138,00625158,a,10,not cut,
185154,00627965,a,10,showing excessive curiosity,
185093,00617839,a,10,"invested with royal power as symbolized by a crown: ""the royal (or crowned) heads of Europe""",
185157,00628425,a,10,deficient in curiosity,
185172,00631053,a,10,not current or belonging to the present time,1463
185177,00631852,a,10,becoming obsolete,1463
185179,00632302,a,10,under a curse,
185189,00634314,a,10,supplied with (especially a dower or dowry),
185192,00634767,a,10,(archaic) lacking a dowry,
185197,00635391,a,10,made according to the specifications of an individual,
185198,00635556,a,10,of clothing,
185199,00635682,a,10,built for a particular individual,
185201,00635909,a,10,made for purchase and immediate use,
